prefecture,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,bio,edu,n_cand,win,votes,vshare,magnitude
千葉,浅野 史子,あさの ふみこ,浅野,史子,あさの,ふみこ,48,共産,NA,新,0,党県副委員長〈元〉民青県委員長・木更津市職員,木更津高専,6,0,359854,15.72,3
千葉,平塚 正幸,ひらつか まさゆき,平塚,正幸,ひらつか,まさゆき,37,諸派,NA,新,0,Ｎ国党員・ユーチューバー〈元〉水泳指導員,NA,6,0,89941,3.93,3
東京,丸川 珠代,まるかわ たまよ,丸川,珠代,まるかわ,たまよ,48,自民,NA,現,2,〈元〉五輪相・環境相・厚労政務官・テレビ朝日アナウンサー,東大,20,1,1143458,19.88,6
東京,塩村 文夏,しおむら あやか,塩村,文夏,しおむら,あやか,41,立憲,NA,新,0,〈元〉国民民主党広島３区支部長・都議・放送作家,共立女短大,20,1,688234,11.97,6
東京,武見 敬三,たけみ けいぞう,武見,敬三,たけみ,けいぞう,67,自民,NA,現,4,党国際保健戦略特別委員長〈元〉厚労副大臣・外務政務次官,慶大院,20,1,525302,9.13,6
東京,山口 那津男,やまぐち なつお,山口,那津男,やまぐち,なつお,67,公明,NA,現,3,党代表・弁護士〈元〉参院行政監視委員長・衆院議員・防衛政務次官,東大,20,1,815445,14.18,6
東京,溝口 晃一,みぞぐち こういち,溝口,晃一,みぞぐち,こういち,50,諸派,NA,新,0,オリーブの木政調会長・写真家・情報公開おおた代表,産業能率大,20,0,18123,0.32,6
東京,森 純,もり きよし,森,純,もり,きよし,71,無所属,NA,新,0,〈元〉会社員,大阪市大,20,0,15475,0.27,6
東京,山岸 一生,やまぎし いっせい,山岸,一生,やまぎし,いっせい,37,立憲,NA,新,0,〈元〉朝日新聞記者,東大,20,0,496347,8.63,6
東京,吉良 佳子,きら よしこ,吉良,佳子,きら,よしこ,36,共産,NA,現,1,党中央委員〈元〉党都職員・印刷会社員,早大,20,1,706532,12.28,6
東京,水野 素子,みずの もとこ,水野,素子,みずの,もとこ,49,国民,NA,新,0,宇宙航空研究開発機構調査国際部参事,東大,20,0,186667,3.25,6
東京,関口 安弘,せきぐち やすひろ,関口,安弘,せきぐち,やすひろ,67,無所属,NA,新,0,建物管理業〈元〉航空自衛官,明大中退,20,0,9686,0.17,6
東京,佐藤 均,さとう ひとし,佐藤,均,さとう,ひとし,48,諸派,NA,新,0,安楽死党都副代表・登記情報会社役員〈元〉日興証券社員,日大,20,0,26958,0.47,6
東京,朝倉 玲子,あさくら れいこ,朝倉,玲子,あさくら,れいこ,60,社民,NA,新,0,労組書記長〈元〉東京全労協常任幹事・東京地裁労働審判員,東洋大,20,0,86355,1.5,6
東京,音喜多 駿,おときた しゅん,音喜多,駿,おときた,しゅん,35,維新,NA,新,0,あたらしい党代表〈元〉都議・都民ファ都議団幹事長・化粧品会社員,早大,20,1,526575,9.16,6
東京,七海 ひろこ,ななみ ひろこ,七海,ひろこ,ななみ,ひろこ,34,諸派,NA,新,0,幸福実現党都代表・党広報本部長〈元〉ＮＴＴデータ社員,慶大,20,0,34121,0.59,6
東京,横山 昌弘,よこやま まさひろ,横山,昌弘,よこやま,まさひろ,76,諸派,NA,新,0,安楽死党員・防水工事会社長・保護司〈元〉小金井市議,東京学芸大,20,0,23582,0.41,6
東京,野原 善正,のはら よしまさ,野原,善正,のはら,よしまさ,59,れい,NA,新,0,〈元〉学習塾非常勤講師,琉球大院,20,0,214438,3.73,6
東京,西野 貞吉,にしの ていきち,西野,貞吉,にしの,ていきち,83,無所属,NA,新,0,〈元〉タクシー運転手・陸上自衛官,NA,20,0,9562,0.17,6
東京,大橋 昌信,おおはし まさのぶ,大橋,昌信,おおはし,まさのぶ,43,諸派,NA,新,0,Ｎ国党員〈元〉朝霞市議・配送会社員,千葉県沼南高,20,0,129628,2.25,6
東京,大塚 紀久雄,おおつか きくお,大塚,紀久雄,おおつか,きくお,78,諸派,NA,新,0,貸事務所業・日本無党派党代表〈元〉印刷紙器会社代表社員,明学大,20,0,3586,0.06,6
東京,野末 陳平,のずえ ちんぺい,野末,陳平,のずえ,ちんぺい,87,無所属,NA,元,4,ゴルフ場会社会長〈元〉大正大教授・参院大蔵委員長・タレント,早大,20,0,91194,1.59,6
神奈川,乃木 涼介,のぎ りょうすけ,乃木,涼介,のぎ,りょうすけ,54,国民,NA,新,0,党県副代表・俳優,同志社大,14,0,126672,3.48,4
神奈川,佐々木 さやか,ささき さやか,佐々木,さやか,ささき,さやか,38,公明,自民,現,1,弁護士・党学生局長・党女性委副委員長・党県副代表,創価大専門職院,14,1,615417,16.89,4
神奈川,相原 倫子,あいはら りんこ,相原,倫子,あいはら,りんこ,58,社民,NA,新,0,女性向け相談室主宰・党県役員〈元〉フリー記者,北鎌倉女子学園高,14,0,61709,1.69,4
神奈川,壹岐 愛子,いき あいこ,壹岐,愛子,いき,あいこ,33,諸派,NA,新,0,幸福実現党女性部会長〈元〉党県副代表・ＯＡ機器販売会社員,多摩大,14,0,21755,0.6,4
神奈川,渋谷 貢,しぶや みつぎ,渋谷,貢,しぶや,みつぎ,82,無所属,NA,新,0,行政書士・農業・川崎信金総代,日大専攻科,14,0,11185,0.31,4
神奈川,森下 正勝,もりした まさかつ,森下,正勝,もりした,まさかつ,75,無所属,NA,新,0,建築内装会社長,神奈川大,14,0,22057,0.61,4
神奈川,圷 孝行,あくつ たかゆき,圷,孝行,あくつ,たかゆき,69,諸派,NA,新,0,労働の解放をめざす労働者党員〈元〉党代表委員・県立高校教諭,中大,14,0,8514,0.23,4
神奈川,牧山 弘恵,まきやま ひろえ,牧山,弘恵,まきやま,ひろえ,54,立憲,NA,現,2,米国弁護士〈元〉参院倫選特別委員長・ＴＢＳ社員,国際基督教大,14,1,742658,20.38,4
神奈川,林 大祐,はやし だいすけ,林,大祐,はやし,だいすけ,43,諸派,NA,新,0,Ｎ国党員・化学品コンサルタント業,昭和大院中退,14,0,79208,2.17,4
神奈川,加藤 友行,かとう ともゆき,加藤,友行,かとう,ともゆき,55,諸派,NA,新,0,安楽死党員・デザイン会社長〈元〉音楽制作会社経営,NA,14,0,21598,0.59,4
神奈川,島村 大,しまむら だい,島村,大,しまむら,だい,58,自民,NA,現,1,歯科医師〈元〉参院厚労委員長・日本歯科医師連盟理事長,東京歯大,14,1,917058,25.17,4
神奈川,浅賀 由香,あさか ゆか,浅賀,由香,あさか,ゆか,39,共産,NA,新,0,党県常任委員〈元〉運輸会社役員,筑波大,14,0,422603,11.6,4
神奈川,松沢 成文,まつざわ しげふみ,松沢,成文,まつざわ,しげふみ,61,維新,NA,現,1,聖マリアンナ医大客員教授〈元〉知事・衆院議員・松下政経塾生,慶大,14,1,575884,15.81,4
神奈川,榎本 太志,えのもと たいし,榎本,太志,えのもと,たいし,41,諸派,NA,新,0,オリーブの木青年局長・司会業〈元〉接客業,帝京科学大,14,0,17170,0.47,4
新潟,打越 さく良,うちこし さくら,打越,さく良,うちこし,さくら,51,無所属,立憲 / 国民 / 共産 / 社民,新,0,弁護士・医学部入試における女性差別対策弁護団共同代表,東大院,3,1,521717,50.49,1
新潟,塚田 一郎,つかだ いちろう,塚田,一郎,つかだ,いちろう,55,自民,公明,現,2,〈元〉国交副大臣・衆院議員秘書・さくら銀行員,中大,3,0,479050,46.36,1
新潟,小島 糾史,こじま ただふみ,小島,糾史,こじま,ただふみ,43,諸派,NA,新,0,Ｎ国党員・運送会社員,群馬県伊勢崎商高中退,3,0,32628,3.16,1
富山,西尾 政英,にしお まさえい,西尾,政英,にしお,まさえい,58,国民,立憲 / 社民,新,0,〈元〉衆院議員秘書・参院議員秘書・県職員,金沢大専門職院,2,0,134625,33.27,1
富山,堂故 茂,どうこ しげる,堂故,茂,どうこ,しげる,66,自民,公明,現,1,〈元〉氷見市長・県議・衆院議員秘書,慶大,2,1,270000,66.73,1
石川,山田 修路,やまだ しゅうじ,山田,修路,やまだ,しゅうじ,65,自民,公明,現,1,党参院政審副会長〈元〉総務政務官・農水審議官・水産庁長官,東大,2,1,288040,67.25,1
石川,田辺 徹,たなべ とおる,田辺,徹,たなべ,とおる,58,国民,立憲 / 社民,新,0,〈元〉オペラ歌手・国立音大非常勤講師,東京外大院,2,0,140279,32.75,1
福井,山田 和雄,やまだ かずお,山田,和雄,やまだ,かずお,52,共産,NA,新,0,党県常任委員〈元〉三国町議・自動車電装販売修理会社員,春江工高,3,0,77377,26.18,1
福井,嶋谷 昌美,しまたに まさみ,嶋谷,昌美,しまたに,まさみ,48,諸派,NA,新,0,Ｎ国党員・キャリア相談業〈元〉衆院議員秘書・広告会社員,関学大,3,0,22719,7.69,1
福井,滝波 宏文,たきなみ ひろふみ,滝波,宏文,たきなみ,ひろふみ,47,自民,公明,現,1,経産政務官〈元〉財務省広報室長・人事企画室長,東大,3,1,195515,66.14,1
山梨,森屋 宏,もりや ひろし,森屋,宏,もりや,ひろし,62,自民,公明,現,1,党県会長〈元〉総務政務官・幼稚園理事長・県議,北海道教大,3,1,184383,52.98,1
山梨,市来 伴子,いちき ともこ,市来,伴子,いちき,ともこ,41,無所属,立憲 / 国民 / 共産,新,0,〈元〉杉並区議・衆院議員秘書,関学大院,3,0,150327,43.19,1
山梨,猪野 恵司,いの けいじ,猪野,恵司,いの,けいじ,35,諸派,NA,新,0,バレエ教室経営・Ｎ国党員,米カリフォルニア州立大ロングビーチ校,3,0,13344,3.83,1
長野,羽田 雄一郎,はた ゆういちろう,羽田,雄一郎,はた,ゆういちろう,51,国民,立憲 / 共産 / 社民,現,4,〈元〉党役員室長・民進党参院幹事長・国交相・衆院議員秘書,玉川大,4,1,512462,55.13,1
長野,斉藤 好明,さいとう よしあき,斉藤,好明,さいとう,よしあき,69,諸派,NA,新,0,労働者党県支部長・農業〈元〉公民館報編集委員・県立高校教諭,東京教大,4,0,19211,2.07,1
長野,小松 裕,こまつ ゆたか,小松,裕,こまつ,ゆたか,57,自民,公明,新,0,医師〈元〉衆院議員・国立スポーツ科学センタークリニック長,信州大,4,0,366810,39.46,1
長野,古谷 孝,ふるや たかし,古谷,孝,ふるや,たかし,43,諸派,NA,新,0,Ｎ国党員・社会保険労務士法人代表,立教大,4,0,31137,3.35,1
岐阜,大野 泰正,おおの やすただ,大野,泰正,おおの,やすただ,60,自民,公明,現,1,党副幹事長〈元〉国交政務官・県議・参院議員秘書・全日空社員,慶大,3,1,467309,56.39,1
岐阜,梅村 慎一,うめむら しんいち,梅村,慎一,うめむら,しんいち,48,立憲,国民,新,0,司法書士・党県副代表〈元〉十六銀行員,中京大専門職院,3,0,299463,36.13,1
岐阜,坂本 雅彦,さかもと まさひこ,坂本,雅彦,さかもと,まさひこ,47,諸派,NA,新,0,婚礼運営会社長・Ｎ国党員,甲南大,3,0,61975,7.48,1
静岡,牧野 京夫,まきの たかお,牧野,京夫,まきの,たかお,60,自民,公明,現,2,国交副大臣〈元〉外務政務官・県議・テレビ静岡記者,早大,5,1,585271,38.55,2
静岡,徳川 家広,とくがわ いえひろ,徳川,家広,とくがわ,いえひろ,54,立憲,NA,新,0,政治経済評論家・翻訳家・徳川記念財団理事,米コロンビア大院,5,0,301895,19.88,2
静岡,榛葉 賀津也,しんば かづや,榛葉,賀津也,しんば,かづや,52,国民,NA,現,3,党参院幹事長・党県会長〈元〉外務副大臣・防衛副大臣,米オタバイン大,5,1,445866,29.36,2
静岡,鈴木 千佳,すずき ちか,鈴木,千佳,すずき,ちか,48,共産,NA,新,0,党県常任委員〈元〉県厚生連労組書記,静岡大法経短大部,5,0,136623,9,2
静岡,畑山 浩一,はたやま こういち,畑山,浩一,はたやま,こういち,49,諸派,NA,新,0,Ｎ国党員・トラック運転手〈元〉めっき加工会社員,北海道札幌琴似工高,5,0,48739,3.21,2
愛知,安江 伸夫,やすえ のぶお,安江,伸夫,やすえ,のぶお,32,公明,自民,新,0,弁護士・党青年局次長・党県副幹事長,創価大専門職院,12,1,453246,15.82,4
愛知,橋本 勉,はしもと べん,橋本,勉,はしもと,べん,65,諸派,NA,新,0,オリーブの木副代表・税理士〈元〉衆院議員・証券会社員,早大院中退,12,0,16425,0.57,4
愛知,大塚 耕平,おおつか こうへい,大塚,耕平,おおつか,こうへい,59,国民,NA,現,3,党代表代行〈元〉党共同代表・民進党代表・厚労副大臣・日銀職員,早大院,12,1,506817,17.69,4
愛知,須山 初美,すやま はつみ,須山,初美,すやま,はつみ,40,共産,NA,新,0,党県常任委員・党県若者雇用対策部長〈元〉デザイン事務所社員,愛知産大,12,0,216674,7.56,4
愛知,古川 均,ふるかわ ひとし,古川,均,ふるかわ,ひとし,65,諸派,NA,新,0,労働者党支部長・人材派遣会社員〈元〉運送システム会社員,旭川竜谷高,12,0,17905,0.62,4
愛知,平山 良平,ひらやま りょうへい,平山,良平,ひらやま,りょうへい,71,社民,NA,新,0,党県副代表〈元〉中学校教諭,愛知教大,12,0,43756,1.53,4
愛知,石井 均,いしい ひとし,石井,均,いしい,ひとし,54,無所属,NA,新,0,〈元〉広告印刷会社員・大学非常勤講師・東海銀行員,名大院,12,0,32142,1.12,4
愛知,岬 麻紀,みさき まき,岬,麻紀,みさき,まき,50,維新,NA,新,0,減税日本県支部長・フリーアナウンサー・研修会社長,早大在学,12,0,269081,9.39,4
愛知,酒井 庸行,さかい やすゆき,酒井,庸行,さかい,やすゆき,67,自民,NA,現,1,党政調副会長・党労政局次長〈元〉党副幹事長・内閣府政務官・県議,日大,12,1,737317,25.73,4
愛知,田島 麻衣子,たじま まいこ,田島,麻衣子,たじま,まいこ,42,立憲,NA,新,0,党県副代表〈元〉国連職員・国際ＮＧＯ職員,英オックスフォード大院,12,1,461531,16.11,4
愛知,牛田 宏幸,うしだ ひろゆき,牛田,宏幸,うしだ,ひろゆき,48,諸派,NA,新,0,安楽死党員・派遣社員〈元〉ディスコ支配人・カラオケ会社員,都立大森高,12,0,25219,0.88,4
愛知,末永 友香梨,すえなが ゆかり,末永,友香梨,すえなが,ゆかり,37,諸派,NA,新,0,Ｎ国党員・人材紹介会社員〈元〉リクルート社員,日本デザイナー芸術学院,12,0,85262,2.98,4
三重,吉川 有美,よしかわ ゆうみ,吉川,有美,よしかわ,ゆうみ,45,自民,公明,現,1,〈元〉三井住友銀行員・第三者認証機関社員,東京農工大院,3,1,379339,50.27,1
三重,門田 節代,かどた せつよ,門田,節代,かどた,せつよ,51,諸派,NA,新,0,Ｎ国党員〈元〉かばん卸会社員,近畿大,3,0,40906,5.42,1
三重,芳野 正英,よしの まさひで,芳野,正英,よしの,まさひで,44,無所属,立憲 / 国民,新,0,〈元〉県議・四日市市議・衆院議員秘書,京大,3,0,334353,44.31,1
滋賀,服部 修,はっとり おさむ,服部,修,はっとり,おさむ,45,諸派,NA,新,0,Ｎ国党員・音楽教室代表,東京成徳大,3,0,21358,3.62,1
滋賀,嘉田 由紀子,かだ ゆきこ,嘉田,由紀子,かだ,ゆきこ,69,無所属,立憲 / 国民 / 共産 / 社民,新,0,〈元〉びわこ成蹊スポーツ大学長・知事・京都精華大教授,京大院,3,1,291072,49.37,1
滋賀,二之湯 武史,にのゆ たけし,二之湯,武史,にのゆ,たけし,42,自民,公明,現,1,党参院副幹事長〈元〉進学塾社長・桜美林大国際学研究所研究員,京大,3,0,277165,47.01,1
京都,三上 隆,みかみ たかし,三上,隆,みかみ,たかし,88,諸派,NA,新,0,オリーブの木副代表・不動産会社会長〈元〉府議,立命大,5,0,16057,1.68,2
京都,西田 昌司,にしだ しょうじ,西田,昌司,にしだ,しょうじ,60,自民,公明,現,2,税理士・党参院国対委員長代行〈元〉府議,滋賀大,5,1,421731,44.21,2
京都,倉林 明子,くらばやし あきこ,倉林,明子,くらばやし,あきこ,58,共産,NA,現,1,党中央委員〈元〉京都市議・府議・病院看護師,京都市立看護短大,5,1,246436,25.83,2
京都,増原 裕子,ますはら ひろこ,増原,裕子,ますはら,ひろこ,41,立憲,国民,新,0,経営コンサルタント会社長〈元〉教育ＩＴ会社員・会計事務所職員,慶大院,5,0,232354,24.36,2
京都,山田 彰久,やまだ あきひさ,山田,彰久,やまだ,あきひさ,38,諸派,NA,新,0,Ｎ国党員・宅配業契約社員,阪南大,5,0,37353,3.92,2
大阪,浜田 健,はまだ たけし,浜田,健,はまだ,たけし,53,諸派,NA,新,0,安楽死党員〈元〉漁網製造会社員・自然食品会社員,日大,12,0,14732,0.42,4
大阪,太田 房江,おおた ふさえ,太田,房江,おおた,ふさえ,68,自民,NA,現,1,〈元〉厚労政務官・知事・通産省審議官・岡山県副知事,東大,12,1,559709,16.01,4
大阪,東 徹,あずま とおる,東,徹,あずま,とおる,52,維新,NA,現,1,党総務会長〈元〉府議・福祉専門学校講師・衆院議員秘書,東洋大院,12,1,660128,18.89,4
大阪,足立 美生代,あだち みきよ,足立,美生代,あだち,みきよ,47,諸派,NA,新,0,オリーブの木党員〈元〉日本母親連盟常任理事,兵庫県三木高,12,0,9314,0.27,4
大阪,亀石 倫子,かめいし みちこ,亀石,倫子,かめいし,みちこ,45,立憲,社民,新,0,弁護士〈元〉通信会社員,大阪市大専門職院,12,0,356177,10.19,4
大阪,にしゃんた ,にしゃんた ,にしゃんた,,にしゃんた,,50,国民,NA,新,0,羽衣国際大教授・タレント〈元〉山口県立大准教授,龍谷大院,12,0,129587,3.71,4
大阪,杉 久武,すぎ ひさたけ,杉,久武,すぎ,ひさたけ,43,公明,NA,現,1,公認会計士・党参院政審副会長〈元〉財務政務官,創価大,12,1,591664,16.93,4
大阪,梅村 みずほ,うめむら みずほ,梅村,みずほ,うめむら,みずほ,40,維新,NA,新,0,話し方教室運営〈元〉フリーアナウンサー・ＪＴＢ社員,立命館大,12,1,729818,20.88,4
