party,priority,name,yomi,lastname,firstname,last_kana,first_kana,age,status,previous,bio,edu,home,win,votes
社民,0,大椿 裕子,おおつばき ゆうこ,大椿,裕子,おおつばき,ゆうこ,45,新,0,党役員〈元〉大阪教育合同労組執行委員長,四国学院大,大阪府,0,15274
社民,0,矢野 敦子,やの あつこ,矢野,敦子,やの,あつこ,51,新,0,党総務企画局事務局長〈元〉ＩＴ会社員,神戸学院大,東京都,0,21192
公明,0,若松 謙維,わかまつ かねしげ,若松,謙維,わかまつ,かねしげ,63,現,1,公認会計士〈元〉復興副大臣・衆院議員・総務副大臣,中大,福島県,1,341642
公明,0,平木 大作,ひらき だいさく,平木,大作,ひらき,だいさく,44,現,1,党青年委長・党広報局長〈元〉経産政務官・コンサル会社員,東大,千葉県,1,183522
公明,0,新妻 秀規,にいづま ひでき,新妻,秀規,にいづま,ひでき,49,現,1,党参院政審副会長〈元〉文科政務官・川崎重工社員,東大院,愛知県,1,281635
公明,0,山本 香苗,やまもと かなえ,山本,香苗,やまもと,かなえ,48,現,3,党参院副会長〈元〉厚労副大臣・経産政務官・外務省職員,京大,大阪府,1,593671
公明,0,山本 博司,やまもと ひろし,山本,博司,やまもと,ひろし,64,現,2,党参院副幹事長〈元〉財務政務官・日本ＩＢＭ社員,慶大,香川県,1,471139
公明,0,河野 義博,かわの よしひろ,河野,義博,かわの,よしひろ,41,現,1,党参院政審副会長〈元〉丸紅社員・三菱東京ＵＦＪ銀行員,慶大,福岡県,1,328501
公明,0,塩田 博昭,しおた ひろあき,塩田,博昭,しおた,ひろあき,57,新,0,党政調会事務局長,秋田大,東京都,1,14979
公明,0,高橋 次郎,たかはし じろう,高橋,次郎,たかはし,じろう,51,新,0,公明新聞グラフ編集部長,創価大,埼玉県,0,7552
公明,0,塩崎 剛,しおざき たけし,塩崎,剛,しおざき,たけし,48,新,0,公明新聞電子版編集部長,創価大,東京都,0,1983
公明,0,村中 克也,むらなか かつや,村中,克也,むらなか,かつや,47,新,0,党業務部長,創価大,東京都,0,2147
公明,0,角田 健一郎,つのだ けんいちろう,角田,健一郎,つのだ,けんいちろう,47,新,0,党大阪府職員〈元〉印刷会社員,関西大,大阪府,0,2912
公明,0,西田 義光,にしだ よしみつ,西田,義光,にしだ,よしみつ,42,新,0,公明新聞政治部記者,早大,埼玉県,0,3966
公明,0,国分 隆作,こくぶ りゅうさく,国分,隆作,こくぶ,りゅうさく,41,新,0,党埼玉県職員〈元〉保険代理店社長,創価大,埼玉県,0,1601
公明,0,竹島 正人,たけしま まさと,竹島,正人,たけしま,まさと,41,新,0,公明新聞論説部記者,北九州大,東京都,0,3081
公明,0,坂本 道応,さかもと みちお,坂本,道応,さかもと,みちお,40,新,0,党四国方面事務長・党香川県事務長,創価大,香川県,0,2425
公明,0,藤井 伸城,ふじい のぶしろ,藤井,伸城,ふじい,のぶしろ,39,新,0,党職員,創価大,東京都,0,3230
公明,0,奈良 直記,なら なおき,奈良,直記,なら,なおき,38,新,0,公明新聞論説部記者,近畿大,東京都,0,5361
国民,0,石上 俊雄,いしがみ としお,石上,俊雄,いしがみ,としお,57,現,1,東芝社員〈元〉東芝グループ労組連合副会長,柏崎工高,神奈川県,0,191703
国民,0,礒崎 哲史,いそざき てつじ,礒崎,哲史,いそざき,てつじ,50,現,1,自動車総連顧問〈元〉日産労連特別中央執行委員,東京電機大,東京都,1,258186
国民,0,大島 九州男,おおしま くすお,大島,九州男,おおしま,くすお,58,現,2,全国学習塾協会顧問〈元〉参院内閣委員長・直方市議,日大,福岡県,0,86698
国民,0,小山田 経子,おやまだ つねこ,小山田,経子,おやまだ,つねこ,41,新,0,行政書士・タレント〈元〉資格予備校非常勤講師,熊毛南高,東京都,0,8214
国民,0,酒井 亮介,さかい りょうすけ,酒井,亮介,さかい,りょうすけ,47,新,0,党神奈川県青年局長〈元〉横浜市議・育児ＮＰＯ理事,慶大中退,神奈川県,0,4354
国民,0,鈴木 覚,すずき さとる,鈴木,覚,すずき,さとる,40,新,0,党職員〈元〉維新の党職員・衆院議員秘書,明大,神奈川県,0,5870
国民,0,田中 久弥,たなか ひさや,田中,久弥,たなか,ひさや,60,新,0,ＪＡＭ副会長〈元〉千葉地方最低賃金審議会委員,館山高,千葉県,0,143252
国民,0,田村 麻美,たむら まみ,田村,麻美,たむら,まみ,43,新,0,ＵＡゼンセン員〈元〉イオン労組役員・ジャスコ社員,同志社大,千葉県,1,258857
国民,0,中沢 健,なかざわ けん,中沢,健,なかざわ,けん,64,新,0,〈元〉衆院議員秘書・保育園理事長・朝日新聞記者,法大中退,千葉県,0,4027
国民,0,浜野 喜史,はまの よしふみ,浜野,喜史,はまの,よしふみ,58,現,1,参院経産委員長〈元〉電力総連会長代理,神戸大,東京都,1,255882
国民,0,姫井 由美子,ひめい ゆみこ,姫井,由美子,ひめい,ゆみこ,60,元,1,行政書士・司法書士〈元〉自由党岡山県代表・県議,岡山大院,岡山県,0,20858
国民,0,藤川 武人,ふじかわ たけと,藤川,武人,ふじかわ,たけと,50,新,0,党職員〈元〉衆院議員秘書・資格取得会社員,北大専門職院,神奈川県,0,2445
国民,0,円 より子,まどか よりこ,円,より子,まどか,よりこ,72,元,3,評論家〈元〉参院財政金融委員長・民主党副代表,津田塾大,東京都,0,24311
国民,0,山下 容子,やました ようこ,山下,容子,やました,ようこ,60,新,0,フリーアナウンサー〈元〉都議・東京アナウンス学院講師,千葉大,東京都,0,35741
維新,0,室井 邦彦,むろい くにひこ,室井,邦彦,むろい,くにひこ,72,現,2,〈元〉国交政務官・衆院議員・兵庫県議,追手門学院大中退,兵庫県,1,86810
維新,0,藤巻 健史,ふじまき たけし,藤巻,健史,ふじまき,たけし,69,現,1,党政調会長代行〈元〉モルガン銀行東京支店長,一橋大,東京都,0,50367
維新,0,山口 和之,やまぐち かずゆき,山口,和之,やまぐち,かずゆき,63,現,1,理学療法士〈元〉日本理学療法士協会理事・衆院議員,国際商大,福島県,0,41903
維新,0,鈴木 宗男,すずき むねお,鈴木,宗男,すずき,むねお,71,新,0,新党大地代表〈元〉衆院議員・北海道沖縄開発庁長官,拓殖大,北海道,1,218898
維新,0,梅村 聡,うめむら さとし,梅村,聡,うめむら,さとし,44,元,1,医師〈元〉民主党大阪府代表代行・厚労政務官,阪大,大阪府,1,58188
維新,0,柴田 巧,しばた たくみ,柴田,巧,しばた,たくみ,58,前,1,〈元〉結いの党幹事長代行・富山県議・衆院議員秘書,早大院,富山県,1,53804
維新,0,空本 誠喜,そらもと せいき,空本,誠喜,そらもと,せいき,55,新,0,技術指導会社長〈元〉民主党広島県副代表・衆院議員,東大院,広島県,0,12730
維新,0,荒木 大樹,あらき だいじゅ,荒木,大樹,あらき,だいじゅ,48,新,0,霊園理事長・石材販売会社長〈元〉みんなの党支部長,慶大,栃木県,0,8477
維新,0,岩渕 美智子,いわぶち みちこ,岩渕,美智子,いわぶち,みちこ,63,新,0,〈元〉宮城県環境生活部次長・東洋大助教授,ジョージタウン大院,東京都,0,8070
維新,0,奥田 真理,おくだ まり,奥田,真理,おくだ,まり,36,新,0,学習塾運営会社役員,星槎大在学,愛知県,0,20373
維新,0,串田 久子,くしだ ひさこ,串田,久子,くしだ,ひさこ,53,新,0,〈元〉横浜市議・アナウンサー・ラジオリポーター,横浜国大,神奈川県,0,32130
維新,0,桑原 久美子,くわはら くみこ,桑原,久美子,くわはら,くみこ,33,新,0,主婦〈元〉大分県議秘書・衆院議員秘書,神戸女学院大,大分県,0,20591
維新,0,森口 あゆみ,もりぐち あゆみ,森口,あゆみ,もりぐち,あゆみ,54,新,0,芸能事務所社長・イベント企画会社長,上野商高,三重県,0,19227
維新,0,柳ケ瀬 裕文,やながせ ひろふみ,柳ケ瀬,裕文,やながせ,ひろふみ,44,新,0,〈元〉都議・大田区議・広告会社員,筑波大院在学,東京都,1,51028
幸福,0,釈 量子,しゃく りょうこ,釈,量子,しゃく,りょうこ,49,新,0,党首〈元〉幸福の科学常務理事・製紙会社員,国学院大,東京都,0,30186
幸福,0,松島 弘典,まつしま ひろのり,松島,弘典,まつしま,ひろのり,62,新,0,党幹事長〈元〉幸福の科学理事長・三菱商事社員,都立大,神奈川県,0,4651
幸福,0,及川 幸久,おいかわ ゆきひさ,及川,幸久,おいかわ,ゆきひさ,59,新,0,党外務局長〈元〉投資顧問会社員,国際基督教大院,東京都,0,8201
立憲,0,石川 大我,いしかわ たいが,石川,大我,いしかわ,たいが,45,新,0,〈元〉豊島区議・福祉ＮＰＯ代表理事,早大専門職院,東京都,1,72326
立憲,0,市井 紗耶香,いちい さやか,市井,紗耶香,いちい,さやか,35,新,0,タレント〈元〉歌手,東京都,NA,0,49885
立憲,0,今泉 真緒,いまいずみ まお,今泉,真緒,いまいずみ,まお,40,新,0,展示プランナー・デザイナー〈元〉日本科学未来館職員,慶大,京都府,0,11826
立憲,0,奥村 政佳,おくむら まさよし,奥村,政佳,おくむら,まさよし,41,新,0,歌手・保育士,横浜国大院,神奈川県,0,31430
立憲,0,小沢 雅仁,おざわ まさひと,小沢,雅仁,おざわ,まさひと,53,新,0,日本郵政グループ労組中央副執行委員長,甲府西高,山梨県,1,144079
立憲,0,おしどり マコ,おしどり まこ,おしどり,マコ,おしどり,まこ,44,新,0,漫才師・ジャーナリスト,鳥取大中退,東京都,0,28750
立憲,0,小俣 一平,おまた いっぺい,小俣,一平,おまた,いっぺい,67,新,0,ルポライター・早大院非常勤講師〈元〉ＮＨＫ記者,早大院,神奈川県,0,9946
立憲,0,川田 龍平,かわだ りゅうへい,川田,龍平,かわだ,りゅうへい,43,現,2,参院厚労委員〈元〉衆院議員秘書・薬害エイズ訴訟原告,東京経大,京都府,1,92971
立憲,0,岸 真紀子,きし まきこ,岸,真紀子,きし,まきこ,43,新,0,自治労特別中央執行委員〈元〉北海道岩見沢市職員,岩見沢緑陵高,北海道,1,157517
立憲,0,斉藤 里恵,さいとう りえ,斉藤,里恵,さいとう,りえ,35,新,0,〈元〉北区議・講演会講師・接客業,東奥学園高中退,東京都,0,22634
立憲,0,佐藤 香,さとう かおり,佐藤,香,さとう,かおり,51,新,0,女性支援団体共同代表〈元〉司会業,国学院女短大,北海道,0,19910
立憲,0,塩見 俊次,しおみ しゅんじ,塩見,俊次,しおみ,しゅんじ,70,新,0,医師・医療法人理事長〈元〉日本医師会理事,奈良県立医大,奈良県,0,5089
立憲,0,白沢 みき,しらさわ みき,白沢,みき,しらさわ,みき,52,新,0,〈元〉３Ｄプリント関連会社役員・キャスター・テレビ記者,日大,東京都,0,9310
立憲,0,須藤 元気,すどう げんき,須藤,元気,すどう,げんき,41,新,0,芸能会社役員・拓殖大レスリング部監督〈元〉格闘家,拓殖大院,東京都,1,72309
立憲,0,中村 起子,なかむら ゆきこ,中村,起子,なかむら,ゆきこ,54,新,0,金融翻訳会社長〈元〉資産運用会社員・西友社員,一橋大,岩手県,0,13350
立憲,0,深貝 亨,ふかがい とおる,深貝,亨,ふかがい,とおる,65,新,0,行政書士〈元〉日本行政書士会連合副会長,北星学園大,北海道,0,4509
立憲,0,藤田 幸久,ふじた ゆきひさ,藤田,幸久,ふじた,ゆきひさ,69,現,2,国際ＮＧＯ日本支部理事〈元〉財務副大臣・衆院議員,慶大,茨城県,0,28679
立憲,0,真野 哲,まの さとし,真野,哲,まの,さとし,58,新,0,医療福祉会社長・日本福祉大院非常勤教員,日本福祉大院,愛知県,0,8962
立憲,0,水岡 俊一,みずおか しゅんいち,水岡,俊一,みずおか,しゅんいち,63,前,2,日教組教育政策室長〈元〉参院内閣委員長・首相補佐官,奈良教大,兵庫県,1,148164
立憲,0,森屋 隆,もりや たかし,森屋,隆,もりや,たかし,52,新,0,私鉄総連交通対策局長・西東京バス社員,多摩工高,東京都,1,103617
立憲,0,吉川 沙織,よしかわ さおり,吉川,沙織,よしかわ,さおり,42,現,2,〈元〉参院経産委員長・情報労連役員・ＮＴＴ社員,同志社大院,東京都,1,142535
立憲,0,若林 智子,わかばやし ともこ,若林,智子,わかばやし,ともこ,57,新,0,福祉ＮＰＯ副理事長〈元〉神奈川県議・横浜市議,比治山女短大,神奈川県,0,31438
労働,1,伊藤 恵子,いとう けいこ,伊藤,恵子,いとう,けいこ,72,新,0,党広島県福山市支部長〈元〉介護ヘルパー・郵便局員,明徳商高,岡山県,0,NA
労働,0,林 紘義,はやし ひろよし,林,紘義,はやし,ひろよし,80,新,0,党代表・党代表委員会議長,東大院,東京都,0,17899
労働,0,菊池 里志,きくち さとし,菊池,里志,きくち,さとし,77,新,0,党神奈川支部長〈元〉高校教諭,早大,神奈川県,0,1342
労働,0,吉村 二三男,よしむら ふみお,吉村,二三男,よしむら,ふみお,65,新,0,党支部長〈元〉自治労愛媛県書記次長・医療生協労組役員,愛媛大,愛媛県,0,2786
Ｎ国,0,立花 孝志,たちばな たかし,立花,孝志,たちばな,たかし,51,新,0,党代表〈元〉葛飾区議・千葉県船橋市議・ＮＨＫ職員,信太高,東京都,1,128605
Ｎ国,0,浜田 聡,はまだ さとし,浜田,聡,はまだ,さとし,42,新,0,医師・川崎医科大総合医療センター非常勤医師,京大,岡山県,0,9260
Ｎ国,0,岡本 介伸,おかもと ゆきのぶ,岡本,介伸,おかもと,ゆきのぶ,48,新,0,党員〈元〉手打ちそば店従業員,米テンプル大日本校中退,東京都,0,4239
Ｎ国,0,熊丸 英治,くままる えいじ,熊丸,英治,くままる,えいじ,49,新,0,投資業・農業〈元〉コンビニ会社員,早大専門学校,福岡県,0,2831
安楽,0,佐野 秀光,さの ひでみつ,佐野,秀光,さの,ひでみつ,48,新,0,党代表・登記情報提供サービス会社長,日大,東京都,0,35214
れい,1,舩後 靖彦,ふなご やすひこ,舩後,靖彦,ふなご,やすひこ,61,新,0,介護事業会社副社長〈元〉ＡＬＳ協会千葉県支部運営委員,拓殖大,千葉県,1,NA
れい,1,木村 英子,きむら えいこ,木村,英子,きむら,えいこ,54,新,0,全都在宅障害者の保障を考える会代表,平塚養護学校高等部,東京都,1,NA
れい,0,山本 太郎,やまもと たろう,山本,太郎,やまもと,たろう,44,現,1,俳優・党代表〈元〉自由党共同代表,箕面自由学園高中退,東京都,0,976192
れい,0,蓮池 透,はすいけ とおる,蓮池,透,はすいけ,とおる,64,新,0,〈元〉東京電力社員・拉致被害者家族連絡会事務局長,東京理大,新潟県,0,20255
れい,0,安冨 歩,やすとみ あゆみ,安冨,歩,やすとみ,あゆみ,56,新,0,東大東洋文化研究所教授〈元〉住友銀行員,京大院,埼玉県,0,8448
れい,0,三井 義文,みつい よしふみ,三井,義文,みつい,よしふみ,62,新,0,貨物運送業〈元〉コンビニ加盟店ユニオン副委員長・銀行員,明大,千葉県,0,3858
れい,0,辻村 千尋,つじむら ちひろ,辻村,千尋,つじむら,ちひろ,51,新,0,日本自然保護協会職員〈元〉環境調査業,東京学芸大院,東京都,0,4023
れい,0,大西 恒樹,おおにし つねき,大西,恒樹,おおにし,つねき,55,新,0,ＩＴ会社長〈元〉外資系銀行員,上智大,神奈川県,0,19588
れい,0,渡辺 照子,わたなべ てるこ,渡辺,照子,わたなべ,てるこ,60,新,0,生涯学習施設非常勤職員・市民団体運営委員,武蔵大中退,東京都,0,4963
