prefecture,magnitude,candidate,party,votes,voteshare,status,win
埼玉,3,伊藤　岳,共産,"486,778",15.81,新,0
埼玉,3,沢田　良,お維新,"228,472",7.42,新,0
埼玉,3,佐々木　知子,こころ,"118,030",3.83,新,0
埼玉,3,小島　一郎,諸派,"27,283",0.89,新,0
千葉,3,猪口　邦子,自民,"760,093",29.15,現,1
千葉,3,元栄　太一郎,自民,"577,392",22.15,新,1
千葉,3,小西　洋之,民進,"472,219",18.11,現,1
千葉,3,浅野　史子,共産,"351,561",13.48,新,0
千葉,3,水野　賢一,民進,"314,670",12.07,現,0
千葉,3,高橋　正夫,無所属,"57,329",2.20,新,0
千葉,3,香取　成知,こころ,"50,098",1.92,新,0
千葉,3,古川　裕三,諸派,"23,777",0.91,新,0
東京,6,蓮舫,民進,"1,123,145",18.05,現,1
東京,6,中川　雅治,自民,"884,823",14.22,現,1
東京,6,竹谷　とし子,公明,"770,535",12.38,現,1
東京,6,山添　拓,共産,"665,835",10.70,新,1
東京,6,朝日　健太郎,自民,"644,799",10.36,新,1
東京,6,小川　敏夫,民進,"508,131",8.16,現,1
東京,6,田中　康夫,お維新,"469,314",7.54,元,0
東京,6,横粂　勝仁,無所属,"310,133",4.98,新,0
東京,6,三宅　洋平,無所属,"257,036",4.13,新,0
東京,6,鈴木　麻理子,こころ,"102,402",1.65,新,0
東京,6,増山　麗奈,社民,"93,677",1.51,新,0
東京,6,小林　興起,諸派,"82,357",1.32,新,0
東京,6,佐藤　香,無所属,"67,535",1.09,新,0
東京,6,高樹　沙耶,改革,"60,431",0.97,新,0
東京,6,鈴木　信行,諸派,"42,858",0.69,新,0
東京,6,浜田　和幸,無所属,"28,408",0.46,現,0
東京,6,トクマ,諸派,"20,412",0.33,新,0
東京,6,鈴木　達夫,無所属,"16,187",0.26,新,0
東京,6,柳沢　秀敏,無所属,"12,091",0.19,新,0
東京,6,佐藤　均,諸派,"7,853",0.13,新,0
東京,6,横堀　喜久,無所属,"7,329",0.12,新,0
東京,6,又吉　光雄,諸派,"6,114",0.10,新,0
東京,6,川上　晃司,無所属,"5,812",0.09,新,0
東京,6,犬丸　勝子,諸派,"5,388",0.09,新,0
東京,6,大槻　文彦,諸派,"5,377",0.09,新,0
東京,6,岩坂　行雄,無所属,"5,184",0.08,新,0
東京,6,原田　君明,無所属,"5,017",0.08,新,0
東京,6,深江　孝,諸派,"4,497",0.07,新,0
東京,6,ひめじ　けんじ,諸派,"3,854",0.06,新,0
東京,6,鮫島　良司,諸派,"3,714",0.06,新,0
東京,6,藤代　洋行,諸派,"3,296",0.05,新,0
神奈川,4,三原　じゅん子,自民,"1,004,877",24.50,現,1
神奈川,4,三浦　信祐,公明,"629,582",15.35,新,1
神奈川,4,真山　勇一,民進,"582,127",14.19,前,1
神奈川,4,中西　健治,自民,"524,070",12.77,現,1
神奈川,4,浅賀　由香,共産,"487,729",11.89,新,0
神奈川,4,金子　洋一,民進,"448,954",10.94,現,0
神奈川,4,丹羽　大,お維新,"218,853",5.33,新,0
神奈川,4,森　英夫,社民,"76,424",1.86,新,0
神奈川,4,清水　太一,こころ,"50,256",1.23,新,0
神奈川,4,佐藤　政則,無所属,"32,113",0.78,新,0
神奈川,4,片野　英司,諸派,"25,714",0.63,新,0
神奈川,4,壹岐　愛子,諸派,"21,611",0.53,新,0
新潟,1,森　ゆうこ,無所属,"560,429",49.02,前,1
新潟,1,中原　八一,自民,"558,150",48.82,現,0
新潟,1,横井　基至,諸派,"24,639",2.16,新,0
富山,1,野上　浩太郎,自民,"339,055",69.24,現,1
富山,1,道用　悦子,無所属,"134,212",27.41,新,0
富山,1,吉田　かをる,諸派,"16,410",3.35,新,0
石川,1,岡田　直樹,自民,"328,013",61.73,現,1
石川,1,柴田　未来,無所属,"191,371",36.01,新,0
石川,1,宮元　智,諸派,"11,992",2.26,新,0
福井,1,山崎　正昭,自民,"217,304",60.12,現,1
福井,1,横山　龍寛,無所属,"131,278",36.32,新,0
福井,1,白川　康之,諸派,"12,856",3.56,新,0
山梨,1,宮沢　由佳,民進,"173,713",43.02,新,1
山梨,1,高野　剛,自民,"152,437",37.75,新,0
山梨,1,米長　晴信,無所属,"67,459",16.71,前,0
山梨,1,西脇　愛,諸派,"10,183",2.52,新,0
長野,1,杉尾　秀哉,民進,"574,052",52.45,新,1
長野,1,若林　健太,自民,"499,974",45.69,現,0
長野,1,及川　幸久,諸派,"20,350",1.86,新,0
岐阜,1,渡辺　猛之,自民,"531,412",55.78,現,1
岐阜,1,小見山　幸治,民進,"389,681",40.90,現,0
岐阜,1,加納　有輝彦,諸派,"31,651",3.32,新,0
静岡,2,岩井　茂樹,自民,"747,410",44.25,現,1
静岡,2,平山　佐知子,民進,"691,687",40.95,新,1
静岡,2,鈴木　千佳,共産,"172,382",10.21,新,0
静岡,2,大嶽　創太郎,無所属,"54,412",3.22,新,0
静岡,2,江頭　俊満,諸派,"23,021",1.36,新,0
愛知,4,藤川　政人,自民,"961,096",29.31,現,1
愛知,4,斎藤　嘉隆,民進,"575,119",17.54,現,1
愛知,4,里見　隆治,公明,"531,488",16.21,新,1
愛知,4,伊藤　孝恵,民進,"519,510",15.84,新,1
愛知,4,須山　初美,共産,"302,489",9.22,新,0
愛知,4,奥田　香代,諸派,"218,171",6.65,新,0
愛知,4,平山　良平,社民,"64,781",1.98,新,0
愛知,4,井桁　亮,こころ,"59,651",1.82,新,0
愛知,4,中根　裕美,諸派,"47,088",1.44,新,0
三重,1,芝　博一,民進,"440,776",49.72,現,1
三重,1,山本　佐知子,自民,"420,929",47.48,新,0
三重,1,野原　典子,諸派,"24,871",2.81,新,0
滋賀,1,小鑓　隆史,自民,"332,248",52.22,新,1
滋賀,1,林　久美子,民進,"291,290",45.78,現,0
滋賀,1,荒川　雅司,諸派,"12,705",2.00,新,0
京都,2,二之湯　智,自民,"422,416",39.97,現,1
京都,2,福山　哲郎,民進,"389,707",36.88,現,1
京都,2,大河原　寿貴,共産,"211,663",20.03,新,0
京都,2,大八木　光子,諸派,"32,973",3.12,新,0
大阪,4,松川　るい,自民,"761,424",20.41,新,1
大阪,4,浅田　均,お維新,"727,495",19.50,新,1
大阪,4,石川　博崇,公明,"679,378",18.21,現,1
大阪,4,高木　佳保里,お維新,"669,719",17.95,新,1
大阪,4,渡部　結,共産,"454,502",12.18,新,0
大阪,4,尾立　源幸,民進,"347,753",9.32,現,0
大阪,4,古川　秀雄,こころ,"37,913",1.02,新,0
大阪,4,佐野　明美,諸派,"36,646",0.98,新,0
大阪,4,数森　圭吾,諸派,"16,532",0.44,新,0
兵庫,3,末松　信介,自民,"641,910",26.33,現,1
兵庫,3,伊藤　孝江,公明,"542,090",22.24,新,1
兵庫,3,片山　大介,お維新,"531,165",21.79,新,1
兵庫,3,水岡　俊一,民進,"420,068",17.23,現,0
兵庫,3,金田　峰生,共産,"228,811",9.39,新,0
兵庫,3,湊　侑子,諸派,"49,913",2.05,新,0
兵庫,3,下家　淳の介,こころ,"23,954",0.98,新,0
奈良,1,佐藤　啓,自民,"292,440",45.55,新,1
奈良,1,前川　清成,民進,"216,361",33.70,現,0
奈良,1,吉野　忠男,お維新,"119,994",18.69,新,0
奈良,1,田中　孝子,諸派,"13,293",2.07,新,0
和歌山,1,鶴保　庸介,自民,"306,361",69.18,現,1
和歌山,1,由良　登信,無所属,"115,397",26.06,新,0
和歌山,1,西本　篤,諸派,"21,064",4.76,新,0
鳥取・島根,1,青木　一彦,自民,"387,787",62.70,現,1
鳥取・島根,1,福島　浩彦,無所属,"214,917",34.75,新,0
鳥取・島根,1,国領　豊太,諸派,"15,791",2.55,新,0
岡山,1,小野田　紀美,自民,"437,347",55.56,新,1
岡山,1,黒石　健太郎,民進,"329,501",41.86,新,0
岡山,1,田部　雄治,諸派,"20,378",2.59,新,0
広島,2,宮沢　洋一,自民,"568,252",49.76,現,1
広島,2,柳田　稔,民進,"264,358",23.15,現,1
広島,2,灰岡　香奈,お維新,"157,858",13.82,新,0
広島,2,高見　篤己,共産,"88,499",7.75,新,0
広島,2,中丸　啓,こころ,"28,211",2.47,新,0
広島,2,佐伯　知子,諸派,"18,218",1.60,新,0
広島,2,玉田　憲勲,無所属,"16,691",1.46,新,0
山口,1,江島　潔,自民,"394,907",64.05,現,1
山口,1,纐纈　厚,無所属,"183,817",29.81,新,0
山口,1,河井　美和子,諸派,"37,865",6.14,新,0
徳島・高知,1,中西　祐介,自民,"305,688",54.06,現,1
徳島・高知,1,大西　聡,無所属,"242,781",42.94,新,0
徳島・高知,1,福山　正敏,諸派,"16,988",3.00,新,0
香川,1,磯崎　仁彦,自民,"259,854",65.14,現,1
香川,1,田辺　健一,共産,"104,239",26.13,新,0
香川,1,中西　利恵,諸派,"17,563",4.40,新,0
香川,1,田中　俊秀,無所属,"17,268",4.33,新,0
愛媛,1,山本　順三,自民,"326,990",49.58,現,1
愛媛,1,永江　孝子,無所属,"318,561",48.30,新,0
愛媛,1,森田　浩二,諸派,"14,013",2.12,新,0
福岡,3,古賀　之士,民進,"670,392",30.67,新,1
福岡,3,大家　敏志,自民,"640,473",29.30,現,1
福岡,3,高瀬　弘美,公明,"467,752",21.40,新,1
福岡,3,柴田　雅子,共産,"195,629",8.95,新,0
福岡,3,森上　晋平,お維新,"93,683",4.29,新,0
福岡,3,竹内　信昭,社民,"55,017",2.52,新,0
福岡,3,石井　英俊,こころ,"30,909",1.41,新,0
福岡,3,船戸　タキ子,無所属,"16,047",0.73,新,0
福岡,3,吉冨　和枝,諸派,"15,743",0.72,新,0
佐賀,1,福岡　資麿,自民,"251,601",65.58,現,1
佐賀,1,中村　哲治,民進,"119,908",31.25,元,0
佐賀,1,中島　徹,諸派,"12,152",3.17,新,0
長崎,1,金子　原二郎,自民,"336,612",52.90,現,1
長崎,1,西岡　秀子,民進,"285,743",44.91,新,0
長崎,1,江夏　正敏,諸派,"13,936",2.19,新,0
熊本,1,松村　祥史,自民,"440,607",59.14,現,1
熊本,1,阿部　広美,無所属,"269,168",36.13,新,0
熊本,1,木下　順子,諸派,"20,742",2.78,新,0
熊本,1,本藤　哲哉,諸派,"14,493",1.95,新,0
大分,1,足立　信也,民進,"271,783",48.13,現,1
大分,1,古庄　玄知,自民,"270,693",47.94,新,0
大分,1,上田　敦子,諸派,"22,153",3.92,新,0
宮崎,1,松下　新平,自民,"282,407",62.04,現,1
宮崎,1,読谷山　洋司,無所属,"152,470",33.49,新,0
宮崎,1,河野　一郎,諸派,"20,354",4.47,新,0
鹿児島,1,野村　哲郎,自民,"438,499",58.96,現,1
鹿児島,1,下町　和三,無所属,"216,881",29.16,新,0
鹿児島,1,坂田　英明,無所属,"46,096",6.20,新,0
鹿児島,1,松沢　力,諸派,"42,228",5.68,新,0
沖縄,1,伊波　洋一,無所属,"356,355",57.83,新,1
沖縄,1,島尻　安伊子,自民,"249,955",40.56,現,0
沖縄,1,金城　竜郎,諸派,"9,937",1.61,新,0
