block,party,rank,name,yomi,lastname,firstname,last_kana,first_kana,age,recommended,status,previous,dup_dist,win_smd,win_pr,loss_ratio
北海道ブロック,希望の党,1,高橋 美穂,たかはし みほ,高橋,美穂,たかはし,みほ,52,NA,元,1,北海道4区,0,0,30.696
北海道ブロック,希望の党,1,山岡 達丸,やまおか たつまる,山岡,達丸,やまおか,たつまる,38,NA,元,1,北海道9区,0,1,81.216
北海道ブロック,希望の党,1,水上 美華,みずかみ みか,水上,美華,みずかみ,みか,35,NA,新,0,北海道12区,0,0,60.158
北海道ブロック,希望の党,5,青木 和子,あおき かずこ,青木,和子,あおき,かずこ,47,NA,新,0,比例単独,0,0,NA
北海道ブロック,希望の党,6,三好 新治,みよし しんじ,三好,新治,みよし,しんじ,57,NA,新,0,比例単独,0,0,NA
北海道ブロック,日本維新の会,1,小和田 康文,こわだ やすふみ,小和田,康文,こわだ,やすふみ,47,NA,新,0,北海道2区,0,0,20.646
北海道ブロック,日本維新の会,2,佐藤 暁,さとう あきら,佐藤,暁,さとう,あきら,55,NA,新,0,比例単独,0,0,NA
北海道ブロック,立憲民主党,1,道下 大樹,みちした だいき,道下,大樹,みちした,だいき,41,NA,新,0,北海道1区,1,0,NA
北海道ブロック,立憲民主党,1,荒井 聰,あらい さとし,荒井,聰,あらい,さとし,71,NA,前,7,北海道3区,1,0,NA
北海道ブロック,立憲民主党,1,本多 平直,ほんだ ひらなお,本多,平直,ほんだ,ひらなお,52,NA,元,2,北海道4区,0,1,87.088
北海道ブロック,立憲民主党,1,池田 真紀,いけだ まき,池田,真紀,いけだ,まき,45,NA,新,0,北海道5区,0,1,95.277
北海道ブロック,立憲民主党,1,神谷 裕,かみや ひろし,神谷,裕,かみや,ひろし,49,NA,新,0,北海道10区,0,1,99.47
北海道ブロック,立憲民主党,1,石川 香織,いしかわ かおり,石川,香織,いしかわ,かおり,33,NA,新,0,北海道11区,1,0,NA
北海道ブロック,立憲民主党,7,山崎 摩耶,やまざき まや,山崎,摩耶,やまざき,まや,70,NA,元,1,比例単独,0,0,NA
北海道ブロック,幸福実現党,1,野市 裕司,のいち ひろし,野市,裕司,のいち,ひろし,53,NA,新,0,比例単独,0,0,NA
北海道ブロック,幸福実現党,2,中島 秀雄,なかじま ひでお,中島,秀雄,なかじま,ひでお,68,NA,新,0,比例単独,0,0,NA
北海道ブロック,社会民主党,1,豊巻 絹子,とよまき きぬこ,豊巻,絹子,とよまき,きぬこ,62,NA,新,0,比例単独,0,0,NA
東北ブロック,公明党,1,井上 義久,いのうえ よしひさ,井上,義久,いのうえ,よしひさ,70,NA,前,8,比例単独,0,1,NA
東北ブロック,公明党,2,真山 祐一,まやま ゆういち,真山,祐一,まやま,ゆういち,36,NA,前,1,比例単独,0,0,NA
東北ブロック,公明党,3,渡辺 大,わたなべ だい,渡辺,大,わたなべ,だい,34,NA,新,0,比例単独,0,0,NA
東北ブロック,日本維新の会,1,畠山 昌樹,はたけやま まさき,畠山,昌樹,はたけやま,まさき,43,NA,新,0,宮城1区,0,0,9.988
東北ブロック,日本維新の会,1,西村 恵美,にしむら えみ,西村,恵美,にしむら,えみ,54,NA,新,0,福島2区,0,0,9.995
東北ブロック,日本のこころ,1,高橋 克也,たかはし かつや,高橋,克也,たかはし,かつや,32,NA,新,0,比例単独,0,0,NA
東北ブロック,社会民主党,1,渡辺 敏雄,わたなべ としお,渡辺,敏雄,わたなべ,としお,68,NA,新,0,福島4区,0,0,11.808
東北ブロック,社会民主党,1,遠藤 陽子,えんどう ようこ,遠藤,陽子,えんどう,ようこ,67,NA,新,0,福島5区,0,0,8.311
東北ブロック,社会民主党,3,三上 武志,みかみ たけし,三上,武志,みかみ,たけし,66,NA,新,0,比例単独,0,0,NA
東北ブロック,日本共産党,1,高橋 千鶴子,たかはし ちづこ,高橋,千鶴子,たかはし,ちづこ,58,NA,前,5,比例単独,0,1,NA
東北ブロック,日本共産党,2,舩山 由美,ふなやま ゆみ,舩山,由美,ふなやま,ゆみ,49,NA,新,0,比例単独,0,0,NA
東北ブロック,日本共産党,3,吉田 恭子,よしだ きょうこ,吉田,恭子,よしだ,きょうこ,36,NA,新,0,岩手1区,0,0,24.617
東北ブロック,日本共産党,4,松井 秀明,まつい ひであき,松井,秀明,まつい,ひであき,48,NA,新,0,比例単独,0,0,NA
東北ブロック,幸福実現党,1,矢内 筆勝,やない ひっしょう,矢内,筆勝,やない,ひっしょう,56,NA,新,0,比例単独,0,0,NA
東北ブロック,幸福実現党,2,石川 幹子,いしかわ みきこ,石川,幹子,いしかわ,みきこ,52,NA,新,0,比例単独,0,0,NA
東北ブロック,幸福実現党,3,佐藤 純郎,さとう じゅんろう,佐藤,純郎,さとう,じゅんろう,63,NA,新,0,比例単独,0,0,NA
東北ブロック,自由民主党,1,江渡 聡徳,えと あきのり,江渡,聡徳,えと,あきのり,62,NA,前,6,比例単独,0,1,NA
東北ブロック,自由民主党,2,津島 淳,つしま じゅん,津島,淳,つしま,じゅん,51,公明,前,2,青森1区,1,0,NA
東北ブロック,自由民主党,2,大島 理森,おおしま ただもり,大島,理森,おおしま,ただもり,71,公明,前,11,青森2区,1,0,NA
東北ブロック,自由民主党,2,木村 次郎,きむら じろう,木村,次郎,きむら,じろう,49,公明,新,0,青森3区,1,0,NA
東北ブロック,自由民主党,2,高橋 比奈子,たかはし ひなこ,高橋,比奈子,たかはし,ひなこ,59,公明,前,2,岩手1区,0,1,65.552
東北ブロック,自由民主党,2,鈴木 俊一,すずき しゅんいち,鈴木,俊一,すずき,しゅんいち,64,公明,前,8,岩手2区,1,0,NA
東北ブロック,自由民主党,2,藤原 崇,ふじわら たかし,藤原,崇,ふじわら,たかし,34,公明,前,2,岩手3区,0,1,74.154
東北ブロック,自由民主党,2,土井 亨,どい とおる,土井,亨,どい,とおる,59,公明 / こころ,前,3,宮城1区,1,0,NA
東北ブロック,自由民主党,2,秋葉 賢也,あきば けんや,秋葉,賢也,あきば,けんや,55,公明 / こころ,前,5,宮城2区,1,0,NA
東北ブロック,自由民主党,2,西村 明宏,にしむら あきひろ,西村,明宏,にしむら,あきひろ,57,公明 / こころ,前,4,宮城3区,1,0,NA
東北ブロック,自由民主党,2,伊藤 信太郎,いとう しんたろう,伊藤,信太郎,いとう,しんたろう,64,公明 / こころ,前,5,宮城4区,1,0,NA
東北ブロック,自由民主党,2,勝沼 栄明,かつぬま しげあき,勝沼,栄明,かつぬま,しげあき,42,公明 / こころ,前,2,宮城5区,0,0,56.468
東北ブロック,自由民主党,2,小野寺 五典,おのでら いつのり,小野寺,五典,おのでら,いつのり,57,公明 / こころ,前,6,宮城6区,1,0,NA
東北ブロック,自由民主党,2,冨樫 博之,とがし ひろゆき,冨樫,博之,とがし,ひろゆき,62,公明,前,2,秋田1区,1,0,NA
東北ブロック,自由民主党,2,金田 勝年,かねだ かつとし,金田,勝年,かねだ,かつとし,68,公明,前,3,秋田2区,1,0,NA
東北ブロック,自由民主党,2,御法川 信英,みのりかわ のぶひで,御法川,信英,みのりかわ,のぶひで,53,公明,前,4,秋田3区,1,0,NA
東北ブロック,自由民主党,2,遠藤 利明,えんどう としあき,遠藤,利明,えんどう,としあき,67,公明,前,7,山形1区,1,0,NA
東北ブロック,自由民主党,2,鈴木 憲和,すずき のりかず,鈴木,憲和,すずき,のりかず,35,公明,前,2,山形2区,1,0,NA
東北ブロック,自由民主党,2,加藤 鮎子,かとう あゆこ,加藤,鮎子,かとう,あゆこ,38,公明,前,1,山形3区,1,0,NA
東北ブロック,自由民主党,2,亀岡 偉民,かめおか よしたみ,亀岡,偉民,かめおか,よしたみ,62,公明,前,3,福島1区,0,1,89.618
東北ブロック,自由民主党,2,根本 匠,ねもと たくみ,根本,匠,ねもと,たくみ,66,公明,前,7,福島2区,1,0,NA
東北ブロック,自由民主党,2,上杉 謙太郎,うえすぎ けんたろう,上杉,謙太郎,うえすぎ,けんたろう,42,公明,新,0,福島3区,0,1,64.571
東北ブロック,自由民主党,2,菅家 一郎,かんけ いちろう,菅家,一郎,かんけ,いちろう,62,公明,前,2,福島4区,1,0,NA
東北ブロック,自由民主党,2,吉野 正芳,よしの まさよし,吉野,正芳,よしの,まさよし,69,公明,前,6,福島5区,1,0,NA
東北ブロック,自由民主党,25,橋本 英教,はしもと ひでのり,橋本,英教,はしもと,ひでのり,50,NA,前,2,比例単独,0,0,NA
東北ブロック,自由民主党,26,村上 文人,むらかみ ふみと,村上,文人,むらかみ,ふみと,67,NA,新,0,比例単独,0,0,NA
東北ブロック,自由民主党,27,常盤 茂樹,ときわ しげき,常盤,茂樹,ときわ,しげき,47,NA,新,0,比例単独,0,0,NA
東北ブロック,希望の党,1,寺田 学,てらた まなぶ,寺田,学,てらた,まなぶ,41,NA,前,4,比例単独,0,1,NA
東北ブロック,希望の党,2,升田 世喜男,ますた せきお,升田,世喜男,ますた,せきお,60,NA,前,1,青森1区,0,0,62.197
東北ブロック,希望の党,2,工藤 武司,くどう たけし,工藤,武司,くどう,たけし,45,NA,新,0,青森2区,0,0,41.941
東北ブロック,希望の党,2,山内 崇,やまうち たかし,山内,崇,やまうち,たかし,62,NA,新,0,青森3区,0,0,39.689
東北ブロック,希望の党,2,階 猛,しな たけし,階,猛,しな,たけし,51,NA,前,4,岩手1区,1,0,NA
東北ブロック,希望の党,2,畑 浩治,はた こうじ,畑,浩治,はた,こうじ,54,NA,元,2,岩手2区,0,0,76.1
東北ブロック,希望の党,2,伊藤 優太,いとう ゆうた,伊藤,優太,いとう,ゆうた,32,NA,新,0,宮城1区,0,0,24.017
東北ブロック,希望の党,2,一條 芳弘,いちじょう よしひろ,一條,芳弘,いちじょう,よしひろ,44,NA,新,0,宮城3区,0,0,43.781
東北ブロック,希望の党,2,坂東 毅彦,ばんどう たけひこ,坂東,毅彦,ばんどう,たけひこ,58,NA,新,0,宮城4区,0,0,46.964
東北ブロック,希望の党,2,松浦 大悟,まつうら だいご,松浦,大悟,まつうら,だいご,48,NA,新,0,秋田1区,0,0,67.786
東北ブロック,希望の党,2,緑川 貴士,みどりかわ たかし,緑川,貴士,みどりかわ,たかし,32,NA,新,0,秋田2区,0,1,97.765
東北ブロック,希望の党,2,村岡 敏英,むらおか としひで,村岡,敏英,むらおか,としひで,57,NA,前,2,秋田3区,0,0,87.26
東北ブロック,希望の党,2,荒井 寛,あらい かん,荒井,寛,あらい,かん,44,NA,新,0,山形1区,0,0,59.876
東北ブロック,希望の党,2,近藤 洋介,こんどう ようすけ,近藤,洋介,こんどう,ようすけ,52,NA,前,5,山形2区,0,0,83.706
東北ブロック,希望の党,2,阿部 寿一,あべ じゅいち,阿部,寿一,あべ,じゅいち,58,NA,元,1,山形3区,0,0,78.585
東北ブロック,希望の党,2,岡部 光規,おかべ みつのり,岡部,光規,おかべ,みつのり,49,NA,新,0,福島2区,0,0,61.281
東北ブロック,希望の党,2,小熊 慎司,おぐま しんじ,小熊,慎司,おぐま,しんじ,49,NA,前,2,福島4区,0,1,98.229
東北ブロック,希望の党,2,吉田 泉,よしだ いずみ,吉田,泉,よしだ,いずみ,68,NA,前,5,福島5区,0,0,59.538
東北ブロック,希望の党,19,宇佐美 登,うさみ のぼる,宇佐美,登,うさみ,のぼる,50,NA,元,2,比例単独,0,0,NA
東北ブロック,希望の党,20,高松 和夫,たかまつ かずお,高松,和夫,たかまつ,かずお,75,NA,元,1,比例単独,0,0,NA
東北ブロック,立憲民主党,1,岡本 章子,おかもと あきこ,岡本,章子,おかもと,あきこ,53,NA,新,0,宮城1区,0,1,78.607
東北ブロック,立憲民主党,2,山崎 誠,やまざき まこと,山崎,誠,やまざき,まこと,54,NA,元,1,比例単独,0,1,NA
東北ブロック,立憲民主党,3,阿久津 幸彦,あくつ ゆきひこ,阿久津,幸彦,あくつ,ゆきひこ,61,NA,元,3,比例単独,0,1,NA
東北ブロック,立憲民主党,4,梶 護,かじ まもる,梶,護,かじ,まもる,46,NA,新,0,比例単独,0,0,NA
北関東ブロック,希望の党,1,福島 伸享,ふくしま のぶゆき,福島,伸享,ふくしま,のぶゆき,47,NA,前,2,茨城1区,0,0,82.116
北関東ブロック,希望の党,1,石津 政雄,いしづ まさお,石津,政雄,いしづ,まさお,70,NA,元,1,茨城2区,0,0,54.805
北関東ブロック,希望の党,1,樋口 舞,ひぐち まい,樋口,舞,ひぐち,まい,44,維新,新,0,茨城3区,0,0,45.158
北関東ブロック,希望の党,1,大熊 利昭,おおくま としあき,大熊,利昭,おおくま,としあき,54,NA,元,1,茨城4区,0,0,30.16
北関東ブロック,希望の党,1,浅野 哲,あさの さとし,浅野,哲,あさの,さとし,35,NA,新,0,茨城5区,0,1,91.29
北関東ブロック,希望の党,1,青山 大人,あおやま やまと,青山,大人,あおやま,やまと,38,NA,新,0,茨城6区,0,1,94.326
北関東ブロック,希望の党,1,柏倉 祐司,かしわくら ゆうじ,柏倉,祐司,かしわくら,ゆうじ,48,NA,元,1,栃木1区,0,0,46.841
北関東ブロック,希望の党,1,渡辺 美由紀,わたなべ みゆき,渡辺,美由紀,わたなべ,みゆき,58,NA,新,0,栃木3区,0,0,57.576
北関東ブロック,希望の党,1,藤岡 隆雄,ふじおか たかお,藤岡,隆雄,ふじおか,たかお,40,NA,新,0,栃木4区,0,0,68.63
北関東ブロック,希望の党,1,大豆生田 実,おおまみうだ みのる,大豆生田,実,おおまみうだ,みのる,51,NA,新,0,栃木5区,0,0,46.349
北関東ブロック,希望の党,1,宮崎 岳志,みやざき たけし,宮崎,岳志,みやざき,たけし,47,NA,前,2,群馬1区,0,0,77.254
北関東ブロック,希望の党,1,石関 貴史,いしぜき たかし,石関,貴史,いしぜき,たかし,45,NA,前,4,群馬2区,0,0,54.411
北関東ブロック,希望の党,1,不破 弘樹,ふわ ひろき,不破,弘樹,ふわ,ひろき,51,NA,新,0,群馬4区,0,0,38.779
北関東ブロック,希望の党,1,猪口 幸子,いのくち さちこ,猪口,幸子,いのくち,さちこ,61,NA,新,0,群馬5区,0,0,27.525
北関東ブロック,希望の党,1,武正 公一,たけまさ こういち,武正,公一,たけまさ,こういち,56,NA,前,6,埼玉1区,0,0,70.962
北関東ブロック,希望の党,1,菅 克己,すが かつみ,菅,克己,すが,かつみ,51,NA,新,0,埼玉2区,0,0,58.855
北関東ブロック,希望の党,1,三輪 麻美,みわ あさみ,三輪,麻美,みわ,あさみ,30,NA,新,0,埼玉3区,0,0,31.408
北関東ブロック,希望の党,1,吉田 芳朝,よしだ よしのり,吉田,芳朝,よしだ,よしのり,43,NA,新,0,埼玉4区,0,0,67.528
北関東ブロック,希望の党,1,高木 秀文,たかぎ ひでふみ,高木,秀文,たかぎ,ひでふみ,44,維新,新,0,埼玉5区,0,0,9.554
北関東ブロック,希望の党,1,大島 敦,おおしま あつし,大島,敦,おおしま,あつし,60,NA,前,6,埼玉6区,1,0,NA
北関東ブロック,希望の党,1,小宮山 泰子,こみやま やすこ,小宮山,泰子,こみやま,やすこ,52,NA,前,5,埼玉7区,0,1,86.086
北関東ブロック,希望の党,1,小野塚 勝俊,おのづか まさとし,小野塚,勝俊,おのづか,まさとし,45,NA,元,1,埼玉8区,0,0,66.164
北関東ブロック,希望の党,1,杉村 慎治,すぎむら しんじ,杉村,慎治,すぎむら,しんじ,41,NA,新,0,埼玉9区,0,0,51.512
北関東ブロック,希望の党,1,坂本 祐之輔,さかもと ゆうのすけ,坂本,祐之輔,さかもと,ゆうのすけ,62,NA,前,2,埼玉10区,0,0,77.359
北関東ブロック,希望の党,1,三角 創太,みすみ そうた,三角,創太,みすみ,そうた,29,NA,新,0,埼玉11区,0,0,31.019
北関東ブロック,希望の党,1,森田 俊和,もりた としかず,森田,俊和,もりた,としかず,43,NA,新,0,埼玉12区,0,1,99.431
北関東ブロック,希望の党,1,北角 嘉幸,きたずみ よしゆき,北角,嘉幸,きたずみ,よしゆき,54,NA,新,0,埼玉13区,0,0,55.451
北関東ブロック,希望の党,1,鈴木 義弘,すずき よしひろ,鈴木,義弘,すずき,よしひろ,54,NA,前,2,埼玉14区,0,0,63.725
北関東ブロック,希望の党,1,高山 智司,たかやま さとし,高山,智司,たかやま,さとし,47,NA,元,3,埼玉15区,0,0,50.661
北関東ブロック,希望の党,30,永井 弥生,ながい やよい,永井,弥生,ながい,やよい,53,NA,新,0,比例単独,0,0,NA
北関東ブロック,希望の党,31,山下 崇,やました そう,山下,崇,やました,そう,44,NA,新,0,比例単独,0,0,NA
北関東ブロック,希望の党,32,並木 正芳,なみき まさよし,並木,正芳,なみき,まさよし,68,NA,元,2,比例単独,0,0,NA
北関東ブロック,立憲民主党,1,長谷川 嘉一,はせがわ かいち,長谷川,嘉一,はせがわ,かいち,64,NA,新,0,群馬3区,0,1,80.837
北関東ブロック,立憲民主党,1,山川 百合子,やまかわ ゆりこ,山川,百合子,やまかわ,ゆりこ,48,NA,新,0,埼玉3区,0,1,77.029
北関東ブロック,立憲民主党,1,枝野 幸男,えだの ゆきお,枝野,幸男,えだの,ゆきお,53,NA,前,8,埼玉5区,1,0,NA
北関東ブロック,立憲民主党,4,堀越 啓仁,ほりこし けいにん,堀越,啓仁,ほりこし,けいにん,37,NA,新,0,比例単独,0,1,NA
北関東ブロック,立憲民主党,5,大河原 雅子,おおかわら まさこ,大河原,雅子,おおかわら,まさこ,64,NA,新,0,比例単独,0,1,NA
北関東ブロック,立憲民主党,6,高木 錬太郎,たかぎ れんたろう,高木,錬太郎,たかぎ,れんたろう,45,NA,新,0,比例単独,0,1,NA
北関東ブロック,日本維新の会,1,青柳 仁士,あおやぎ ひとし,青柳,仁士,あおやぎ,ひとし,38,NA,新,0,埼玉4区,0,0,31.448
北関東ブロック,日本維新の会,2,小檜山 清人,こひやま きよと,小檜山,清人,こひやま,きよと,60,NA,新,0,埼玉1区,0,0,10.85
北関東ブロック,日本維新の会,2,谷古宇 勘司,やこう かんじ,谷古宇,勘司,やこう,かんじ,66,NA,新,0,埼玉3区,0,0,11.424
北関東ブロック,日本維新の会,2,榛野 博,はたの ひろし,榛野,博,はたの,ひろし,47,NA,新,0,埼玉14区,0,0,14.146
北関東ブロック,日本維新の会,2,高橋 英明,たかはし ひであき,高橋,英明,たかはし,ひであき,54,NA,新,0,埼玉15区,0,0,15.609
北関東ブロック,幸福実現党,1,小島 一郎,こじま いちろう,小島,一郎,こじま,いちろう,46,NA,新,0,比例単独,0,0,NA
北関東ブロック,幸福実現党,2,森田 貴行,もりた たかゆき,森田,貴行,もりた,たかゆき,46,NA,新,0,比例単独,0,0,NA
北関東ブロック,幸福実現党,3,三觜 明美,みつはし あけみ,三觜,明美,みつはし,あけみ,55,NA,新,0,比例単独,0,0,NA
北関東ブロック,幸福実現党,4,斉藤 芳男,さいとう よしお,斉藤,芳男,さいとう,よしお,60,NA,新,0,比例単独,0,0,NA
北関東ブロック,公明党,1,石井 啓一,いしい けいいち,石井,啓一,いしい,けいいち,59,NA,前,8,比例単独,0,1,NA
北関東ブロック,公明党,2,岡本 三成,おかもと みつなり,岡本,三成,おかもと,みつなり,52,NA,前,2,比例単独,0,1,NA
北関東ブロック,公明党,3,輿水 恵一,こしみず けいいち,輿水,恵一,こしみず,けいいち,55,NA,前,2,比例単独,0,0,NA
北関東ブロック,公明党,4,村上 知己,むらかみ ともみ,村上,知己,むらかみ,ともみ,52,NA,新,0,比例単独,0,0,NA
北関東ブロック,社会民主党,1,池田 万佐代,いけだ まさよ,池田,万佐代,いけだ,まさよ,58,NA,新,0,埼玉13区,0,0,35.172
北関東ブロック,社会民主党,1,高橋 宣之,たかはし のぶゆき,高橋,宣之,たかはし,のぶゆき,63,NA,新,0,群馬5区,0,0,12.798
北関東ブロック,自由民主党,1,田所 嘉徳,たどころ よしのり,田所,嘉徳,たどころ,よしのり,63,公明,前,2,茨城1区,1,0,NA
北関東ブロック,自由民主党,1,葉梨 康弘,はなし やすひろ,葉梨,康弘,はなし,やすひろ,58,公明,前,4,茨城3区,1,0,NA
北関東ブロック,自由民主党,1,梶山 弘志,かじやま ひろし,梶山,弘志,かじやま,ひろし,62,公明,前,6,茨城4区,1,0,NA
北関東ブロック,自由民主党,1,石川 昭政,いしかわ あきまさ,石川,昭政,いしかわ,あきまさ,45,NA,前,2,茨城5区,1,0,NA
北関東ブロック,自由民主党,1,国光 文乃,くにみつ あやの,国光,文乃,くにみつ,あやの,38,公明,新,0,茨城6区,1,0,NA
北関東ブロック,自由民主党,1,永岡 桂子,ながおか けいこ,永岡,桂子,ながおか,けいこ,63,NA,前,4,茨城7区,0,1,80.568
北関東ブロック,自由民主党,1,船田 元,ふなだ はじめ,船田,元,ふなだ,はじめ,63,公明,前,11,栃木1区,1,0,NA
北関東ブロック,自由民主党,1,簗 和生,やな かずお,簗,和生,やな,かずお,38,公明,前,2,栃木3区,1,0,NA
北関東ブロック,自由民主党,1,佐藤 勉,さとう つとむ,佐藤,勉,さとう,つとむ,65,公明,前,7,栃木4区,1,0,NA
北関東ブロック,自由民主党,1,茂木 敏充,もてぎ としみつ,茂木,敏充,もてぎ,としみつ,62,公明,前,8,栃木5区,1,0,NA
北関東ブロック,自由民主党,1,尾身 朝子,おみ あさこ,尾身,朝子,おみ,あさこ,56,公明,前,1,群馬1区,1,0,NA
北関東ブロック,自由民主党,1,井野 俊郎,いの としろう,井野,俊郎,いの,としろう,37,公明,前,2,群馬2区,1,0,NA
北関東ブロック,自由民主党,1,笹川 博義,ささがわ ひろよし,笹川,博義,ささがわ,ひろよし,51,公明,前,2,群馬3区,1,0,NA
北関東ブロック,自由民主党,1,福田 達夫,ふくだ たつお,福田,達夫,ふくだ,たつお,50,公明,前,2,群馬4区,1,0,NA
北関東ブロック,自由民主党,1,小渕 優子,おぶち ゆうこ,小渕,優子,おぶち,ゆうこ,43,公明,前,6,群馬5区,1,0,NA
北関東ブロック,自由民主党,1,村井 英樹,むらい ひでき,村井,英樹,むらい,ひでき,37,公明,前,2,埼玉1区,1,0,NA
北関東ブロック,自由民主党,1,新藤 義孝,しんどう よしたか,新藤,義孝,しんどう,よしたか,59,公明,前,6,埼玉2区,1,0,NA
北関東ブロック,自由民主党,1,黄川田 仁志,きかわだ ひとし,黄川田,仁志,きかわだ,ひとし,47,公明,前,2,埼玉3区,1,0,NA
北関東ブロック,自由民主党,1,穂坂 泰,ほさか やすし,穂坂,泰,ほさか,やすし,43,公明,新,0,埼玉4区,1,0,NA
北関東ブロック,自由民主党,1,牧原 秀樹,まきはら ひでき,牧原,秀樹,まきはら,ひでき,46,公明,前,3,埼玉5区,0,1,64.675
北関東ブロック,自由民主党,1,中根 一幸,なかね かずゆき,中根,一幸,なかね,かずゆき,48,公明,前,3,埼玉6区,0,1,86.635
北関東ブロック,自由民主党,1,神山 佐市,かみやま さいち,神山,佐市,かみやま,さいち,63,公明,前,2,埼玉7区,1,0,NA
北関東ブロック,自由民主党,1,柴山 昌彦,しばやま まさひこ,柴山,昌彦,しばやま,まさひこ,51,公明,前,5,埼玉8区,1,0,NA
北関東ブロック,自由民主党,1,大塚 拓,おおつか たく,大塚,拓,おおつか,たく,44,公明,前,3,埼玉9区,1,0,NA
北関東ブロック,自由民主党,1,山口 泰明,やまぐち たいめい,山口,泰明,やまぐち,たいめい,68,公明,前,6,埼玉10区,1,0,NA
北関東ブロック,自由民主党,1,野中 厚,のなか あつし,野中,厚,のなか,あつし,40,公明,前,2,埼玉12区,1,0,NA
北関東ブロック,自由民主党,1,土屋 品子,つちや しなこ,土屋,品子,つちや,しなこ,65,公明,前,6,埼玉13区,1,0,NA
北関東ブロック,自由民主党,1,三ツ林 裕巳,みつばやし ひろみ,三ツ林,裕巳,みつばやし,ひろみ,62,公明,前,2,埼玉14区,1,0,NA
北関東ブロック,自由民主党,1,田中 良生,たなか りょうせい,田中,良生,たなか,りょうせい,53,公明,前,3,埼玉15区,1,0,NA
北関東ブロック,自由民主党,30,中曽根 康隆,なかそね やすたか,中曽根,康隆,なかそね,やすたか,35,NA,新,0,比例単独,0,1,NA
北関東ブロック,自由民主党,31,佐藤 明男,さとう あきお,佐藤,明男,さとう,あきお,65,NA,新,0,比例単独,0,1,NA
