block,party,rank,name,yomi,lastname,firstname,last_kana,first_kana,age,recommended,status,previous,dup,dup_dist,win_smd,win_pr,loss_ratio
北海道,中道改革連合,3,石川 香織,いしかわ かおり,石川,香織,いしかわ,かおり,41,NA,前,3,1,北海道11区,0,0,84.808
北海道,中道改革連合,3,川原田 英世,かわはらだ えいせい,川原田,英世,かわはらだ,えいせい,43,NA,前,1,1,北海道12区,0,0,70.042
北海道,中道改革連合,15,工藤 愛紗,くどう あいさ,工藤,愛紗,くどう,あいさ,45,NA,新,0,0,比例単独,0,0,NA
北海道,中道改革連合,16,田島 央一,たじま よういち,田島,央一,たじま,よういち,48,NA,新,0,0,比例単独,0,0,NA
北海道,中道改革連合,17,広川 竜行,ひろかわ たつゆき,広川,竜行,ひろかわ,たつゆき,33,NA,新,0,0,比例単独,0,0,NA
北海道,日本維新の会,1,山崎 泉,やまざき いずみ,山崎,泉,やまざき,いずみ,52,NA,新,0,1,北海道2区,0,0,18.198
北海道,日本維新の会,2,オカダ 美輪子,おかだ みわこ,オカダ,美輪子,おかだ,みわこ,46,NA,新,0,0,比例単独,0,0,NA
北海道,社民党,1,鳴海 一芳,なるみ かずよし,鳴海,一芳,なるみ,かずよし,71,NA,新,0,0,比例単独,0,0,NA
北海道,参政党,1,中島 良樹,なかしま よしき,中島,良樹,なかしま,よしき,47,NA,新,0,1,北海道3区,0,0,30.483
北海道,参政党,2,中田 綾子,なかだ あやこ,中田,綾子,なかだ,あやこ,49,NA,新,0,1,北海道2区,0,0,26.959
北海道,自民党,1,中村 裕之,なかむら ひろゆき,中村,裕之,なかむら,ひろゆき,64,維新,前,5,1,北海道4区,1,0,NA
北海道,自民党,1,東 国幹,あずま くによし,東,国幹,あずま,くによし,57,維新,前,2,1,北海道6区,1,0,NA
北海道,自民党,1,鈴木 貴子,すずき たかこ,鈴木,貴子,すずき,たかこ,40,維新,前,5,1,北海道7区,1,0,NA
北海道,自民党,1,向山 淳,むこうやま じゅん,向山,淳,むこうやま,じゅん,42,NA,前,1,1,北海道8区,1,0,NA
北海道,自民党,1,武部 新,たけべ あらた,武部,新,たけべ,あらた,55,維新,前,5,1,北海道12区,1,0,NA
北海道,自民党,6,伊東 良孝,いとう よしたか,伊東,良孝,いとう,よしたか,77,NA,前,6,0,比例単独,0,1,NA
北海道,自民党,7,加藤 貴弘,かとう たかひろ,加藤,貴弘,かとう,たかひろ,43,維新,新,0,1,北海道1区,1,0,NA
北海道,自民党,7,高橋 祐介,たかはし ゆうすけ,高橋,祐介,たかはし,ゆうすけ,45,NA,元,1,1,北海道2区,1,0,NA
北海道,自民党,7,高木 宏寿,たかぎ ひろひさ,高木,宏寿,たかぎ,ひろひさ,65,維新,元,3,1,北海道3区,1,0,NA
北海道,自民党,7,和田 義明,わだ よしあき,和田,義明,わだ,よしあき,54,維新,元,3,1,北海道5区,1,0,NA
北海道,自民党,7,松下 英樹,まつした ひでき,松下,英樹,まつした,ひでき,35,NA,新,0,1,北海道9区,1,0,NA
北海道,自民党,7,渡辺 孝一,わたなべ こういち,渡辺,孝一,わたなべ,こういち,68,NA,元,4,1,北海道10区,0,1,99.971
北海道,自民党,7,中川 紘一,なかがわ こういち,中川,紘一,なかがわ,こういち,35,維新,新,0,1,北海道11区,1,0,NA
北海道,自民党,14,村木 汀,むらき なぎさ,村木,汀,むらき,なぎさ,25,NA,新,0,0,比例単独,0,1,NA
北海道,自民党,15,吉田 有理,よしだ ゆうり,吉田,有理,よしだ,ゆうり,39,NA,新,0,0,比例単独,0,1,NA
北海道,れいわ新選組,1,野村パターソン,のむらぱたーそん,野村パターソン,NA,のむらぱたーそん,NA,41,NA,新,0,0,比例単独,0,0,NA
北海道,チームみらい,1,稲原 宗能,いなはら むねよし,稲原,宗能,いなはら,むねよし,36,NA,新,0,0,比例単独,0,0,NA
北海道,日本保守党,1,小野寺 秀,おのでら まさる,小野寺,秀,おのでら,まさる,62,NA,新,0,0,比例単独,0,0,NA
北海道,減税日本・ゆうこく連合,1,門脇 翔平,かどわき しょうへい,門脇,翔平,かどわき,しょうへい,41,NA,新,0,0,比例単独,0,0,NA
東北,れいわ新選組,1,佐原 若子,さわら わかこ,佐原,若子,さわら,わかこ,72,NA,前,1,1,青森3区,0,0,10.257
東北,れいわ新選組,2,二藤部 冬馬,にとうべ とうま,二藤部,冬馬,にとうべ,とうま,44,NA,新,0,0,比例単独,0,0,NA
東北,中道改革連合,1,庄子 賢一,しょうじ けんいち,庄子,賢一,しょうじ,けんいち,63,NA,前,2,0,比例単独,0,1,NA
東北,中道改革連合,2,有田 芳生,ありた よしふ,有田,芳生,ありた,よしふ,73,NA,前,1,0,比例単独,0,1,NA
東北,中道改革連合,3,升田 世喜男,ますた せきお,升田,世喜男,ますた,せきお,68,NA,前,2,1,青森1区,0,0,64.138
東北,中道改革連合,3,松尾 和彦,まつお かずひこ,松尾,和彦,まつお,かずひこ,62,NA,新,0,1,青森2区,0,0,48.779
東北,中道改革連合,3,岡田 華子,おかだ はなこ,岡田,華子,おかだ,はなこ,45,NA,前,1,1,青森3区,0,0,80.917
東北,中道改革連合,3,階 猛,しな たけし,階,猛,しな,たけし,59,NA,前,7,1,岩手1区,1,0,NA
東北,中道改革連合,3,小沢 一郎,おざわ いちろう,小沢,一郎,おざわ,いちろう,83,NA,前,19,1,岩手3区,0,0,76.752
東北,中道改革連合,3,岡本 章子,おかもと あきこ,岡本,章子,おかもと,あきこ,61,NA,前,3,1,宮城1区,0,0,70.886
東北,中道改革連合,3,鎌田 さゆり,かまた さゆり,鎌田,さゆり,かまた,さゆり,61,NA,前,4,1,宮城2区,0,0,72.703
東北,中道改革連合,3,柳沢 剛,やなぎさわ つよし,柳沢,剛,やなぎさわ,つよし,62,NA,前,1,1,宮城3区,0,0,56.511
東北,中道改革連合,3,安住 淳,あずみ じゅん,安住,淳,あずみ,じゅん,64,NA,前,10,1,宮城4区,0,0,63.316
東北,中道改革連合,3,境 恒春,さかい つねはる,境,恒春,さかい,つねはる,46,NA,新,0,1,宮城5区,0,0,22.224
東北,中道改革連合,3,早川 周作,はやかわ しゅうさく,早川,周作,はやかわ,しゅうさく,49,NA,新,0,1,秋田1区,0,0,34.372
東北,中道改革連合,3,緑川 貴士,みどりかわ たかし,緑川,貴士,みどりかわ,たかし,41,NA,前,3,1,秋田2区,0,0,81.967
東北,中道改革連合,3,原田 和広,はらだ まさひろ,原田,和広,はらだ,まさひろ,52,NA,前,1,1,山形1区,0,0,45.673
東北,中道改革連合,3,落合 拓磨,おちあい たくま,落合,拓磨,おちあい,たくま,28,NA,新,0,1,山形3区,0,0,35.745
東北,中道改革連合,3,金子 恵美,かねこ えみ,金子,恵美,かねこ,えみ,60,NA,前,4,1,福島1区,0,1,93.911
東北,中道改革連合,3,玄葉 光一郎,げんば こういちろう,玄葉,光一郎,げんば,こういちろう,61,NA,前,11,1,福島2区,0,0,69.908
東北,中道改革連合,3,小熊 慎司,おぐま しんじ,小熊,慎司,おぐま,しんじ,57,NA,前,5,1,福島3区,0,0,71.538
東北,中道改革連合,3,斎藤 裕喜,さいとう ゆうき,斎藤,裕喜,さいとう,ゆうき,46,NA,前,1,1,福島4区,0,0,54.24
東北,自民党,1,江渡 聡徳,えと あきのり,江渡,聡徳,えと,あきのり,70,NA,前,9,0,比例単独,0,1,NA
東北,自民党,2,津島 淳,つしま じゅん,津島,淳,つしま,じゅん,59,NA,前,5,1,青森1区,1,0,NA
東北,自民党,2,神田 潤一,かんだ じゅんいち,神田,潤一,かんだ,じゅんいち,55,維新,前,2,1,青森2区,1,0,NA
東北,自民党,2,木村 次郎,きむら じろう,木村,次郎,きむら,じろう,58,維新,元,2,1,青森3区,1,0,NA
東北,自民党,2,米内 紘正,よない ひろまさ,米内,紘正,よない,ひろまさ,38,維新,新,0,1,岩手1区,0,1,92.626
東北,自民党,2,鈴木 俊一,すずき しゅんいち,鈴木,俊一,すずき,しゅんいち,72,NA,前,11,1,岩手2区,1,0,NA
東北,自民党,2,藤原 崇,ふじわら たかし,藤原,崇,ふじわら,たかし,42,NA,元,4,1,岩手3区,1,0,NA
東北,自民党,2,土井 亨,どい とおる,土井,亨,どい,とおる,67,NA,元,5,1,宮城1区,1,0,NA
東北,自民党,2,渡辺 勝幸,わたなべ かつゆき,渡辺,勝幸,わたなべ,かつゆき,50,NA,新,0,1,宮城2区,1,0,NA
東北,自民党,2,西村 明宏,にしむら あきひろ,西村,明宏,にしむら,あきひろ,65,維新,元,6,1,宮城3区,1,0,NA
東北,自民党,2,森下 千里,もりした ちさと,森下,千里,もりした,ちさと,44,NA,前,1,1,宮城4区,1,0,NA
東北,自民党,2,小野寺 五典,おのでら いつのり,小野寺,五典,おのでら,いつのり,65,NA,前,9,1,宮城5区,1,0,NA
東北,自民党,2,冨樫 博之,とがし ひろゆき,冨樫,博之,とがし,ひろゆき,70,NA,前,5,1,秋田1区,1,0,NA
東北,自民党,2,福原 淳嗣,ふくはら じゅんじ,福原,淳嗣,ふくはら,じゅんじ,58,維新,前,1,1,秋田2区,1,0,NA
東北,自民党,2,御法川 信英,みのりかわ のぶひで,御法川,信英,みのりかわ,のぶひで,61,維新,前,7,1,秋田3区,0,1,97.133
東北,自民党,2,遠藤 寛明,えんどう ひろあき,遠藤,寛明,えんどう,ひろあき,39,NA,新,0,1,山形1区,1,0,NA
東北,自民党,2,鈴木 憲和,すずき のりかず,鈴木,憲和,すずき,のりかず,44,維新,前,5,1,山形2区,1,0,NA
東北,自民党,2,加藤 鮎子,かとう あゆこ,加藤,鮎子,かとう,あゆこ,46,維新,前,4,1,山形3区,1,0,NA
東北,自民党,2,西山 尚利,にしやま なおとし,西山,尚利,にしやま,なおとし,60,維新,新,0,1,福島1区,1,0,NA
東北,自民党,2,根本 拓,ねもと たく,根本,拓,ねもと,たく,39,維新,前,1,1,福島2区,1,0,NA
東北,自民党,2,上杉 謙太郎,うえすぎ けんたろう,上杉,謙太郎,うえすぎ,けんたろう,50,維新,元,2,1,福島3区,1,0,NA
東北,自民党,2,坂本 竜太郎,さかもと りゅうたろう,坂本,竜太郎,さかもと,りゅうたろう,45,維新,前,1,1,福島4区,1,0,NA
東北,自民党,23,伊藤 信太郎,いとう しんたろう,伊藤,信太郎,いとう,しんたろう,72,NA,元,7,0,比例単独,0,1,NA
東北,自民党,24,菅家 一郎,かんけ いちろう,菅家,一郎,かんけ,いちろう,70,NA,元,4,0,比例単独,0,1,NA
東北,自民党,25,秋葉 賢也,あきば けんや,秋葉,賢也,あきば,けんや,63,NA,元,7,0,比例単独,0,1,NA
東北,自民党,26,愛知 治郎,あいち じろう,愛知,治郎,あいち,じろう,56,NA,新,0,0,比例単独,0,0,NA
東北,参政党,1,和田 政宗,わだ まさむね,和田,政宗,わだ,まさむね,51,NA,新,0,1,宮城2区,0,1,35.6
東北,参政党,2,ローレンス 綾子,ろーれんす あやこ,ローレンス,綾子,ろーれんす,あやこ,55,NA,新,0,1,宮城1区,0,0,28.737
東北,参政党,3,大山 里幸子,おおやま りさこ,大山,里幸子,おおやま,りさこ,52,NA,新,0,1,福島2区,0,0,16.01
東北,共産党,1,高橋 千鶴子,たかはし ちづこ,高橋,千鶴子,たかはし,ちづこ,66,NA,元,7,0,比例単独,0,0,NA
東北,共産党,2,吉田 恭子,よしだ きょうこ,吉田,恭子,よしだ,きょうこ,45,NA,新,0,1,岩手1区,0,0,14.271
東北,社民党,1,遠藤 芳孝,えんどう よしたか,遠藤,芳孝,えんどう,よしたか,77,NA,新,0,0,比例単独,0,0,NA
東北,チームみらい,1,林 拓海,はやし たくみ,林,拓海,はやし,たくみ,28,NA,新,0,0,比例単独,0,1,NA
東北,国民民主党,1,金浜 亨,かねはま あきら,金浜,亨,かねはま,あきら,37,NA,新,0,1,青森2区,0,0,28.693
東北,国民民主党,1,菊池 大二郎,きくち だいじろう,菊池,大二郎,きくち,だいじろう,43,NA,前,1,1,山形2区,0,0,39.999
東北,国民民主党,1,喜多 恒介,きた こうすけ,喜多,恒介,きた,こうすけ,36,NA,新,0,1,山形3区,0,0,24.216
東北,国民民主党,1,木村 佐知子,きむら さちこ,木村,佐知子,きむら,さちこ,39,NA,新,0,1,秋田1区,0,0,38.686
東北,国民民主党,1,佐々木 真琴,ささき まこと,佐々木,真琴,ささき,まこと,29,NA,新,0,1,岩手2区,0,1,54.396
東北,国民民主党,1,佐藤 理々香,さとう りりか,佐藤,理々香,さとう,りりか,25,NA,新,0,1,宮城2区,0,0,22.924
東北,国民民主党,1,村岡 敏英,むらおか としひで,村岡,敏英,むらおか,としひで,65,NA,前,3,1,秋田3区,1,0,NA
東北,国民民主党,1,山口 洋太,やまぐち ようた,山口,洋太,やまぐち,ようた,35,NA,新,0,1,福島4区,0,0,38.235
東北,日本保守党,1,小沢 倫平,こざわ りんぺい,小沢,倫平,こざわ,りんぺい,63,NA,新,0,0,比例単独,0,0,NA
東北,日本維新の会,1,高橋 浩司,たかはし こうじ,高橋,浩司,たかはし,こうじ,62,NA,新,0,1,宮城1区,0,0,13.836
東北,日本維新の会,1,早坂 敦,はやさか あつし,早坂,敦,はやさか,あつし,54,NA,元,1,1,宮城2区,0,0,10.254
東北,日本維新の会,1,松浦 大悟,まつうら だいご,松浦,大悟,まつうら,だいご,56,NA,新,0,1,秋田1区,0,0,22.509
北関東,中道改革連合,1,石井 啓一,いしい けいいち,石井,啓一,いしい,けいいち,67,NA,元,10,0,比例単独,0,1,NA
北関東,中道改革連合,2,輿水 恵一,こしみず けいいち,輿水,恵一,こしみず,けいいち,64,NA,前,4,0,比例単独,0,1,NA
北関東,中道改革連合,3,福重 隆浩,ふくしげ たかひろ,福重,隆浩,ふくしげ,たかひろ,63,NA,前,2,0,比例単独,0,1,NA
北関東,中道改革連合,4,小沼 巧,おぬま たくみ,小沼,巧,おぬま,たくみ,40,NA,新,0,1,茨城2区,0,0,40.92
北関東,中道改革連合,4,梶岡 博樹,かじおか ひろき,梶岡,博樹,かじおか,ひろき,48,NA,新,0,1,茨城3区,0,0,54.385
北関東,中道改革連合,4,小池 篤史,こいけ あつし,小池,篤史,こいけ,あつし,49,NA,新,0,1,栃木1区,0,0,53.102
北関東,中道改革連合,4,福田 昭夫,ふくだ あきお,福田,昭夫,ふくだ,あきお,77,NA,前,7,1,栃木2区,0,0,67.678
北関東,中道改革連合,4,伊賀 央,いが ひろし,伊賀,央,いが,ひろし,61,NA,新,0,1,栃木3区,0,0,35.242
北関東,中道改革連合,4,藤岡 隆雄,ふじおか たかお,藤岡,隆雄,ふじおか,たかお,48,NA,前,2,1,栃木4区,0,0,84.867
北関東,中道改革連合,4,河村 正剛,かわむら まさたけ,河村,正剛,かわむら,まさたけ,52,NA,新,0,1,群馬1区,0,0,46.773
北関東,中道改革連合,4,長谷川 嘉一,はせがわ かいち,長谷川,嘉一,はせがわ,かいち,73,NA,前,2,1,群馬3区,0,0,62.528
北関東,中道改革連合,4,山田 博規,やまだ ひろき,山田,博規,やまだ,ひろき,67,NA,新,0,1,群馬4区,0,0,33.703
北関東,中道改革連合,4,武正 公一,たけまさ こういち,武正,公一,たけまさ,こういち,64,NA,前,7,1,埼玉1区,0,0,56.18
北関東,中道改革連合,4,竹内 千春,たけうち ちはる,竹内,千春,たけうち,ちはる,57,NA,前,1,1,埼玉3区,0,0,62.729
北関東,中道改革連合,4,枝野 幸男,えだの ゆきお,枝野,幸男,えだの,ゆきお,61,NA,前,11,1,埼玉5区,0,0,86.606
北関東,中道改革連合,4,大島 敦,おおしま あつし,大島,敦,おおしま,あつし,69,NA,前,9,1,埼玉6区,0,1,89.522
北関東,中道改革連合,4,小宮山 泰子,こみやま やすこ,小宮山,泰子,こみやま,やすこ,60,NA,前,8,1,埼玉7区,0,0,74.842
北関東,中道改革連合,4,市来 伴子,いちき ともこ,市来,伴子,いちき,ともこ,48,NA,前,1,1,埼玉8区,0,0,57.222
北関東,中道改革連合,4,杉村 慎治,すぎむら しんじ,杉村,慎治,すぎむら,しんじ,49,NA,前,1,1,埼玉9区,0,0,81.923
北関東,中道改革連合,4,坂本 祐之輔,さかもと ゆうのすけ,坂本,祐之輔,さかもと,ゆうのすけ,71,NA,前,4,1,埼玉10区,0,0,80.842
北関東,中道改革連合,4,島田 誠,しまだ まこと,島田,誠,しまだ,まこと,67,NA,新,0,1,埼玉11区,0,0,36.631
北関東,中道改革連合,4,森田 俊和,もりた としかず,森田,俊和,もりた,としかず,51,NA,前,3,1,埼玉12区,0,0,79.216
北関東,中道改革連合,4,小山田 経子,おやまだ つねこ,小山田,経子,おやまだ,つねこ,47,NA,新,0,1,埼玉15区,0,0,49.864
北関東,中道改革連合,4,三角 創太,みすみ そうた,三角,創太,みすみ,そうた,38,NA,前,1,1,埼玉16区,0,0,65.336
北関東,中道改革連合,25,木村 誠,きむら まこと,木村,誠,きむら,まこと,51,NA,新,0,0,比例単独,0,0,NA
北関東,日本保守党,1,伊藤 純子,いとう じゅんこ,伊藤,純子,いとう,じゅんこ,57,NA,新,0,1,群馬2区,0,0,8.876
北関東,日本保守党,2,五位野 一法,ごいの かずのり,五位野,一法,ごいの,かずのり,63,NA,新,0,0,比例単独,0,0,NA
北関東,チームみらい,1,武藤 かず子,むとう かずこ,武藤,かず子,むとう,かずこ,44,NA,新,0,0,比例単独,0,1,NA
北関東,自民党,1,田所 嘉徳,たどころ よしのり,田所,嘉徳,たどころ,よしのり,72,維新,前,5,1,茨城1区,1,0,NA
北関東,自民党,1,葉梨 康弘,はなし やすひろ,葉梨,康弘,はなし,やすひろ,66,維新,前,7,1,茨城3区,1,0,NA
北関東,自民党,1,梶山 弘志,かじやま ひろし,梶山,弘志,かじやま,ひろし,70,維新,前,9,1,茨城4区,1,0,NA
北関東,自民党,1,鈴木 拓海,すずき たくみ,鈴木,拓海,すずき,たくみ,46,NA,新,0,1,茨城5区,0,1,65.505
北関東,自民党,1,国光 文乃,くにみつ あやの,国光,文乃,くにみつ,あやの,46,維新,前,3,1,茨城6区,1,0,NA
北関東,自民党,1,永岡 桂子,ながおか けいこ,永岡,桂子,ながおか,けいこ,72,維新,前,7,1,茨城7区,0,1,90.309
北関東,自民党,1,船田 元,ふなだ はじめ,船田,元,ふなだ,はじめ,72,NA,前,14,1,栃木1区,1,0,NA
北関東,自民党,1,五十嵐 清,いがらし きよし,五十嵐,清,いがらし,きよし,56,NA,前,2,1,栃木2区,1,0,NA
北関東,自民党,1,簗 和生,やな かずお,簗,和生,やな,かずお,46,NA,前,5,1,栃木3区,0,1,92.291
北関東,自民党,1,石坂 太,いしざか まさる,石坂,太,いしざか,まさる,45,維新,新,0,1,栃木4区,1,0,NA
北関東,自民党,1,茂木 敏充,もてぎ としみつ,茂木,敏充,もてぎ,としみつ,70,維新,前,11,1,栃木5区,1,0,NA
北関東,自民党,1,中曽根 康隆,なかそね やすたか,中曽根,康隆,なかそね,やすたか,44,維新,前,3,1,群馬1区,1,0,NA
北関東,自民党,1,井野 俊郎,いの としろう,井野,俊郎,いの,としろう,46,NA,前,5,1,群馬2区,1,0,NA
北関東,自民党,1,笹川 博義,ささがわ ひろよし,笹川,博義,ささがわ,ひろよし,59,維新,前,5,1,群馬3区,1,0,NA
北関東,自民党,1,福田 達夫,ふくだ たつお,福田,達夫,ふくだ,たつお,58,NA,前,5,1,群馬4区,1,0,NA
北関東,自民党,1,小渕 優子,おぶち ゆうこ,小渕,優子,おぶち,ゆうこ,52,維新,前,9,1,群馬5区,1,0,NA
北関東,自民党,1,村井 英樹,むらい ひでき,村井,英樹,むらい,ひでき,45,NA,前,5,1,埼玉1区,1,0,NA
北関東,自民党,1,新藤 義孝,しんどう よしたか,新藤,義孝,しんどう,よしたか,68,NA,前,9,1,埼玉2区,1,0,NA
北関東,自民党,1,黄川田 仁志,きかわだ ひとし,黄川田,仁志,きかわだ,ひとし,55,維新,前,5,1,埼玉3区,1,0,NA
北関東,自民党,1,穂坂 泰,ほさか やすし,穂坂,泰,ほさか,やすし,51,NA,前,3,1,埼玉4区,1,0,NA
北関東,自民党,1,井原 隆,いはら ゆたか,井原,隆,いはら,ゆたか,43,NA,新,0,1,埼玉5区,1,0,NA
北関東,自民党,1,尾花 瑛仁,おばな あきひと,尾花,瑛仁,おばな,あきひと,42,NA,新,0,1,埼玉6区,1,0,NA
北関東,自民党,1,中野 英幸,なかの ひでゆき,中野,英幸,なかの,ひでゆき,64,維新,前,2,1,埼玉7区,1,0,NA
北関東,自民党,1,柴山 昌彦,しばやま まさひこ,柴山,昌彦,しばやま,まさひこ,60,維新,前,8,1,埼玉8区,1,0,NA
北関東,自民党,1,大塚 拓,おおつか たく,大塚,拓,おおつか,たく,52,維新,元,5,1,埼玉9区,1,0,NA
北関東,自民党,1,山口 晋,やまぐち すすむ,山口,晋,やまぐち,すすむ,42,維新,元,1,1,埼玉10区,1,0,NA
北関東,自民党,1,野中 厚,のなか あつし,野中,厚,のなか,あつし,49,維新,前,5,1,埼玉12区,1,0,NA
北関東,自民党,1,三ツ林 裕巳,みつばやし ひろみ,三ツ林,裕巳,みつばやし,ひろみ,70,維新,元,4,1,埼玉13区,1,0,NA
北関東,自民党,1,藤田 誠,ふじた まこと,藤田,誠,ふじた,まこと,52,維新,新,0,1,埼玉14区,1,0,NA
北関東,自民党,1,田中 良生,たなか りょうせい,田中,良生,たなか,りょうせい,62,NA,前,6,1,埼玉15区,1,0,NA
北関東,自民党,31,中根 一幸,なかね かずゆき,中根,一幸,なかね,かずゆき,56,NA,元,5,0,比例単独,0,1,NA
北関東,自民党,32,西條 昌良,さいじょう まさよし,西條,昌良,さいじょう,まさよし,71,NA,新,0,0,比例単独,0,1,NA
北関東,自民党,33,石川 昭政,いしかわ あきまさ,石川,昭政,いしかわ,あきまさ,53,NA,元,4,0,比例単独,0,1,NA
北関東,自民党,34,尾身 朝子,おみ あさこ,尾身,朝子,おみ,あさこ,64,NA,元,3,0,比例単独,0,1,NA
北関東,自民党,35,前川 恵,まえかわ めぐみ,前川,恵,まえかわ,めぐみ,50,NA,元,1,0,比例単独,0,1,NA
北関東,自民党,36,田島 宏樹,たじま ひろき,田島,宏樹,たじま,ひろき,52,NA,新,0,0,比例単独,0,0,NA
北関東,自民党,37,冨山 ひで子,とみやま ひでこ,冨山,ひで子,とみやま,ひでこ,62,NA,新,0,0,比例単独,0,0,NA
北関東,自民党,38,増田 勝,ますだ まさる,増田,勝,ますだ,まさる,57,NA,新,0,0,比例単独,0,0,NA
北関東,日本維新の会,1,柏倉 祐司,かしわくら ゆうじ,柏倉,祐司,かしわくら,ゆうじ,56,NA,元,1,1,栃木1区,0,1,48.396
北関東,日本維新の会,1,高橋 英明,たかはし ひであき,高橋,英明,たかはし,ひであき,62,NA,前,2,1,埼玉2区,0,0,37.478
北関東,日本維新の会,1,伊勢田 享子,いせだ みちこ,伊勢田,享子,いせだ,みちこ,48,NA,新,0,1,埼玉4区,0,0,14.569
北関東,日本維新の会,1,津田 賢伯,つだ まさのり,津田,賢伯,つだ,まさのり,50,NA,新,0,1,埼玉6区,0,0,14.231
北関東,日本維新の会,1,南原 竜樹,なんばら たつき,南原,竜樹,なんばら,たつき,65,NA,新,0,1,埼玉15区,0,0,27.986
北関東,れいわ新選組,1,高井 崇志,たかい たかし,高井,崇志,たかい,たかし,56,NA,前,4,1,埼玉13区,0,0,21.993
北関東,れいわ新選組,2,山越 光敏,やまごし みつとし,山越,光敏,やまごし,みつとし,55,NA,新,0,0,比例単独,0,0,NA
北関東,社民党,1,星 孝典,ほし たかのり,星,孝典,ほし,たかのり,65,NA,新,0,0,比例単独,0,0,NA
北関東,共産党,1,塩川 鉄也,しおかわ てつや,塩川,鉄也,しおかわ,てつや,64,NA,前,9,0,比例単独,0,1,NA
北関東,共産党,2,梅村 早江子,うめむら さえこ,梅村,早江子,うめむら,さえこ,61,NA,元,1,0,比例単独,0,0,NA
北関東,参政党,1,豊田 真由子,とよた まゆこ,豊田,真由子,とよた,まゆこ,51,NA,元,2,0,比例単独,0,1,NA
北関東,参政党,2,大森 紀明,おおもり のりあき,大森,紀明,おおもり,のりあき,54,NA,新,0,1,栃木1区,0,0,34.433
北関東,参政党,2,青木 ひとみ,あおき ひとみ,青木,ひとみ,あおき,ひとみ,44,NA,新,0,1,群馬4区,0,1,42.273
北関東,参政党,2,川端 絢美,かわばた あやみ,川端,絢美,かわばた,あやみ,42,NA,新,0,1,茨城1区,0,0,28.922
北関東,参政党,5,長島 美子,ながしま よしこ,長島,美子,ながしま,よしこ,58,NA,新,0,1,埼玉6区,0,0,23.15
北関東,参政党,5,斎藤 真衣,さいとう まい,斎藤,真衣,さいとう,まい,35,NA,新,0,1,茨城3区,0,0,30.882
北関東,参政党,5,堀越 麻紀,ほりこし まき,堀越,麻紀,ほりこし,まき,53,NA,新,0,1,茨城6区,0,0,21.83
北関東,国民民主党,1,浅野 哲,あさの さとし,浅野,哲,あさの,さとし,43,NA,前,3,1,茨城5区,1,0,NA
北関東,国民民主党,1,岸田 光広,きしだ みつひろ,岸田,光広,きしだ,みつひろ,58,NA,前,1,1,埼玉4区,0,0,51.292
北関東,国民民主党,1,鈴木 義弘,すずき よしひろ,鈴木,義弘,すずき,よしひろ,63,NA,前,4,1,埼玉14区,0,1,90.842
北関東,国民民主党,1,谷川 祐一,たにかわ ゆういち,谷川,祐一,たにかわ,ゆういち,50,NA,新,0,1,茨城2区,0,0,22.083
北関東,国民民主党,1,寺田 和史,てらだ たかふみ,寺田,和史,てらだ,たかふみ,47,NA,新,0,1,栃木5区,0,0,17.722
