id,female,support,height,faheight
82,0,1,174.9,172.3
83,0,1,173.3,167.7
84,1,1,155.5,161.5
85,1,0,156,158.9
86,0,1,172.5,171.2
87,1,1,157,168.3
88,1,1,155.7,164.9
89,1,0,156.2,163.8
90,1,1,161.7,173.9
91,1,0,158.5,169.4
92,0,0,170.7,166
93,1,0,156.6,162.9
94,0,1,168.8,160.6
95,1,0,157.2,167.6
96,0,1,174.3,178.6
97,0,1,171.1,157.9
98,0,0,172.9,174.6
99,1,1,155.7,165.6
100,0,0,176.4,180.1
101,0,1,174.2,168.8
102,1,0,161.2,177.8
103,0,0,175,178.4
104,1,0,161.9,172.4
105,0,0,170.8,169.6
106,1,1,156.3,165.7
107,0,1,171.1,157.8
108,1,1,158.3,167.8
109,0,1,173.1,177.8
110,0,0,169.5,157.6
111,0,1,171.1,166.1
112,0,0,173.8,173.7
113,0,1,171.4,168.1
114,1,0,156.6,167.3
115,0,1,171.9,162.5
116,1,0,159,172.2
117,1,1,155,163.3
118,0,0,172.7,170.4
119,1,0,158.2,167.6
120,1,0,161.6,175.3
121,1,1,158.4,171.7
122,0,1,175.2,175.8
123,1,1,154.1,158.7
124,1,0,160.8,178.1
125,0,1,173.6,170.9
126,0,1,174.4,171.8
127,1,0,160.5,176.8
128,0,1,172,171.9
129,0,1,173.9,167.4
130,1,1,161,169.8
131,1,1,161.7,181.1
132,0,1,173.8,176.1
133,0,1,171.5,164.7
134,0,0,171.5,172.5
135,1,0,155.9,165.8
136,1,1,154.6,158.3
137,1,0,159.6,171.7
138,0,1,179.1,182.4
139,0,1,172.8,169.9
140,0,0,171.4,166.2
141,0,0,171.7,168.3
142,1,1,156.7,161
143,0,1,172.7,171.5
144,0,1,172.5,167.8
145,1,0,158.1,167
146,0,0,172.3,168.1
147,1,0,158.3,173.6
148,1,1,161.3,174.2
149,0,0,177.2,180.4
150,1,0,160.7,179.9
151,0,1,175.2,176.4
152,0,0,175.5,181.6
153,1,1,161.2,180.1
154,0,0,171,167.5
155,1,0,157.2,170.2
156,1,1,160.8,171.8
157,0,1,172,168.2
158,1,0,160.5,175.3
159,0,0,173.9,174.1
160,0,0,170.4,164.2
161,1,1,161.4,170.4
162,0,1,172.9,173.9
163,0,0,175.5,177.5
164,1,1,156.8,165.3
165,0,0,171.1,166.2
166,0,1,173,173.5
167,1,1,160.7,173.6
168,0,1,173.7,173.5
169,1,0,159.3,170.8
170,0,1,172.8,168.4
171,0,0,173.6,171.3
172,0,1,170,162.1
173,0,1,172.2,165.4
174,0,1,170.6,164
175,1,1,157.9,170
176,1,1,160.3,166.2
177,1,1,158,164.3
178,1,0,158.9,172
179,1,1,156.8,165
180,1,0,158.8,167.7
181,0,1,173.6,170.1
182,0,0,174,176.2
183,0,0,176.5,173
184,1,0,158.4,160.6
185,0,1,173.2,166.1
186,0,1,175.1,172.8
187,1,0,159,172
188,0,1,175.5,178.5
189,0,0,174.8,180.1
190,0,1,176,177.5
191,0,0,171.6,165.7
192,1,1,157.8,171.1
193,0,0,175.4,181.6
194,1,1,158,168.5
195,1,1,159.1,175.7
196,0,1,174.5,175
197,1,0,158.9,169.8
198,1,1,159,173.9
199,0,1,176.8,171
200,0,1,174.3,176.4
201,0,1,171.5,170.4
202,1,0,158.5,172.9
203,1,1,159.7,173.3
204,0,0,172.5,166.8
205,1,0,160.1,163.7
206,0,1,175.5,174
207,0,0,172.8,169.3
208,1,1,159,171.9
209,0,0,173.1,169.9
210,1,1,158.1,169.5
211,1,0,154.5,155.3
212,1,1,161.7,174.3
213,1,1,156.3,165.4
214,0,1,174.4,164.2
215,1,1,158.1,166.8
216,0,1,172.7,168.2
217,1,0,155.9,154.9
218,0,1,172.3,165.8
219,1,0,158.9,172.3
220,0,1,172.1,168
221,0,1,176,171.6
222,0,1,170.2,163.8
223,0,0,174.6,170.4
224,1,0,158.5,170.8
225,0,0,173.3,176.8
226,0,1,174.4,168.9
227,1,1,156.5,160.3
228,0,1,171.3,162.4
229,1,0,158.7,166
230,0,1,172.9,168.6
231,0,0,171.7,161.9
232,0,1,172.2,174.7
233,1,1,161.9,178.7
234,0,0,170.7,171.6
235,0,0,171.2,165.6
236,1,0,154.5,158.6
237,0,1,175.5,180.3
238,1,0,159.7,169
239,0,1,176.2,176.8
240,1,0,161.4,172.7
241,1,0,159.5,168.9
242,1,0,158.1,166.1
243,0,0,173.3,170.8
244,1,1,157.2,161.6
245,1,1,160.5,172.5
246,0,0,172.3,169.6
247,0,1,173.2,173.7
248,0,0,170.3,164.2
249,1,0,160.2,168.1
250,0,0,171.3,170.7
251,0,0,172.2,164.6
252,0,1,172,166.8
253,1,0,156.2,165
254,1,0,158.2,164.6
255,0,0,173,169.8
256,1,0,160.6,167
257,1,0,161.8,178
258,1,0,158.7,165.1
259,1,0,159,165.4
260,1,1,162.5,177.4
261,0,0,171.2,165
262,0,0,170.6,164.8
263,1,0,157.8,165.3
264,0,1,173.3,167.7
265,1,1,159.9,171.4
266,1,0,155.1,164
267,0,0,170.8,169.9
268,0,1,173.6,172
269,1,1,157.9,167.6
270,1,0,159.2,171.7
271,0,0,170.8,162.9
272,1,1,155.1,163.8
273,1,0,160.3,169
274,0,1,169.6,160.2
275,0,0,173.5,172.6
276,1,1,160,179.4
277,1,0,158.7,172.6
278,0,0,171.8,166.4
279,0,1,171.9,172.1
280,1,0,157.8,172.1
281,1,0,159.2,166
282,0,1,171.6,165.8
283,1,0,157.2,165.4
284,1,1,161.7,178.3
285,0,1,173.4,166.3
286,1,0,157.8,166.2
287,1,1,156.9,170.5
288,1,1,158.9,168.8
289,1,0,160.2,178.6
290,0,1,175.6,176.3
291,0,0,172.4,165.2
292,1,0,159.8,175.6
293,0,0,172.4,173.9
294,1,1,157.4,169.7
295,0,1,172.6,168.1
296,0,1,177.3,180.6
297,0,1,175.6,175.6
298,1,0,161.4,181.2
299,1,0,155.6,161.6
300,1,0,158.1,164.4
301,0,0,172.1,171
302,0,1,170.4,155.8
303,1,1,157.8,165.1
304,1,0,158.5,171.9
305,1,0,158.3,164
306,1,0,157.8,167.5
307,1,1,157.4,167.8
308,0,1,172.3,168.5
309,0,1,171.9,167.6
310,0,1,173.9,169.5
311,1,0,158.1,162.1
312,1,1,157.9,171.4
313,0,1,177.3,184.6
314,1,0,161.9,181.6
315,0,1,170.2,168.2
316,0,0,173.8,172.5
317,1,0,161,175.8
318,1,1,160,167.8
319,1,0,156.3,167.1
320,1,0,162.3,178.6
321,0,0,173.1,173.2
322,0,1,174,168
323,1,1,154.9,160.5
324,1,1,159.1,170.7
325,0,0,176.2,180.8
326,0,1,172.9,167.6
327,1,0,157.6,165.4
328,0,1,171.9,167.6
329,0,1,176.9,181.1
330,1,0,159.7,169.1
331,0,0,169.8,157.9
332,0,1,173.7,172.6
333,1,0,156.2,162
334,0,1,174.7,178.6
335,0,0,172.2,172.3
336,1,0,156,162.7
337,0,0,174.2,165.1
338,0,1,174.4,171.3
339,0,1,175.2,172.1
340,1,1,157.8,172.5
341,1,0,156.6,163.3
342,0,1,167.9,155.2
343,0,1,171.1,167
344,1,1,158,167.4
345,1,1,157.8,169.2
346,1,1,159.8,169.5
347,0,1,175.1,169.4
348,0,1,175.8,179.3
349,0,0,169.3,159.1
350,1,1,161.7,177.6
351,0,1,174.5,171.3
352,1,0,161,173.8
353,0,1,174.8,175.5
354,0,1,171.9,164.2
355,1,1,156.5,166.4
356,1,0,157.2,171.2
357,1,1,159.3,172
358,0,0,170,164.5
359,0,0,168.8,162.5
360,1,0,161.6,176.5
361,0,0,172.4,169.8
362,1,0,161.3,174.8
363,0,0,173,168.3
364,0,1,173.7,173
365,1,0,155.8,159
366,0,1,171.7,164.3
367,0,0,171.2,166
368,1,0,159.3,173.2
369,0,1,175.5,174.6
370,1,0,156.9,164.8
371,1,1,161.4,182
372,0,1,173.8,174.7
373,0,1,177.5,178.1
374,1,1,157.9,171.8
375,1,1,161.6,176.5
376,1,1,157.1,162.8
377,0,1,169.2,160.6
378,1,0,159,170.5
379,0,1,170.5,163.4
380,0,1,173.9,170.4
381,0,0,171.9,163.5
382,0,1,172.3,168.6
383,0,0,170.7,165.4
384,0,1,173.9,172.7
385,1,0,162.8,178.5
386,1,0,156.6,162.4
387,1,1,158.9,169.1
388,0,1,172.5,168.7
389,1,0,156.4,162.5
390,1,1,159,171.1
391,0,1,172.4,173.8
392,1,1,161.9,177.6
393,1,1,159.3,167.7
394,0,1,174.4,168.1
395,0,0,172.5,171.1
396,1,0,159.6,168.7
397,1,0,155.2,167.3
398,1,1,157.9,171.2
399,1,1,157.9,163.9
400,1,1,158.4,165.8
401,1,1,162.1,175.1
402,0,1,174.6,171.4
403,1,0,159.9,170.6
404,0,0,174,173.1
405,0,0,173,167.5
406,1,0,161.3,169.7
407,0,1,168,151.8
408,1,1,157,163.1
409,1,1,158,168.7
410,1,0,151.7,158.1
411,1,0,161.7,175.1
412,1,0,159.8,172.7
413,1,0,158.1,173.4
414,0,1,167.3,158.6
415,1,0,163.4,171.3
416,0,1,174.4,169.1
417,1,1,158.3,170.7
418,0,0,173.2,168.2
419,1,0,159.1,169
420,1,1,156.2,164.3
421,0,0,175,175.9
422,1,0,156.8,160.4
423,1,1,158.4,169.8
424,1,1,158.1,160.2
425,1,0,163,175.8
426,1,1,158.5,169.5
427,1,1,158.6,171
428,0,1,169.5,167.2
429,0,1,172.5,170.6
430,0,1,169.2,161.8
431,1,1,158.2,173.9
432,0,1,177.7,181.6
433,0,0,170.7,168.7
434,1,0,159.8,168.1
435,0,1,172.2,165.2
436,0,0,171.3,163.3
437,0,0,172.4,176.7
438,0,1,173.7,172.6
439,1,0,158.8,167.4
440,1,1,159.7,165.4
441,0,1,173.6,168.7
442,1,1,159,163.1
443,1,0,161.6,175.7
444,0,0,171.9,166.2
445,1,0,163.6,176.5
446,1,0,159.2,169.6
447,1,1,158.8,170.5
448,1,0,162,172.3
449,0,0,169.6,159.8
450,1,1,156.7,171
451,1,0,158.7,167.6
452,0,1,174.3,171.3
453,1,0,160.6,178
454,1,1,158.9,167.2
455,1,1,161.9,179.5
456,1,1,158.6,173.7
457,1,1,158.3,170.1
458,0,1,173.5,173
459,1,1,155,157.4
460,1,1,161.5,176.3
461,0,1,171.8,166.3
462,1,1,159.6,170.3
463,1,1,159.8,173
464,1,1,158.9,168.4
465,0,1,173.1,168.5
466,0,1,171.6,168.3
467,0,1,172.3,164.3
468,0,0,170.4,156.5
469,0,1,173.9,176.5
470,0,0,171.9,168
471,1,0,162.1,174.8
472,0,1,172.5,171.9
473,1,1,158.3,172.2
474,0,1,171.8,162.4
475,1,0,156,162.8
476,0,1,170.1,167.8
477,1,0,154.6,162.2
478,0,1,174.4,177.3
479,1,1,162.3,175.6
480,0,1,173.3,171.8
481,1,0,156.5,160.3
482,1,0,161.6,181.6
483,0,1,171.6,164.6
484,1,0,156.2,162.9
485,0,1,175.5,176.3
486,0,1,173.1,165.9
487,0,1,170.2,159.7
488,1,0,162,180.3
489,1,0,156.6,167.8
490,0,0,173,166.4
491,1,0,165,180.9
492,1,0,159.7,173.5
493,1,1,162.1,179.6
494,0,1,172,167.2
495,1,0,156,164.9
496,1,0,160.3,172.2
497,1,1,159.5,173.7
498,1,0,158.8,171.2
499,1,1,158.7,166.2
500,0,0,173.6,170.5
501,0,1,170.7,164.5
502,0,1,171.2,170.3
503,1,0,157.6,166.5
504,1,1,160,169.8
505,1,1,161.7,173.1
506,0,1,171.4,167
507,0,0,170.4,166.1
508,1,0,159.5,165.4
509,1,1,157.5,164.6
510,0,1,171.2,163.8
511,1,0,155.2,159.3
512,0,0,171.9,161.7
513,1,0,162.5,172.6
514,0,0,171.1,167.8
515,0,0,173.9,174.1
516,0,0,174.7,174.7
517,0,1,173.8,168.6
518,0,1,173.9,172.2
519,0,1,170.5,166.1
520,1,0,156.1,167.4
521,0,0,173.6,167.9
522,0,1,172.3,167.6
523,0,0,174.7,174.5
524,1,1,159.7,172
525,0,0,175,180
526,1,1,158.1,167.4
527,1,0,158.3,169
528,1,1,156.6,162.6
529,1,1,158.5,168
530,1,1,159.3,167.6
531,0,0,170.9,157.7
532,1,0,157.3,170.2
533,0,0,170.5,166.7
534,0,1,174.2,175.3
535,1,0,157.9,170.6
536,1,0,156.7,161.6
537,0,1,173.5,167.8
538,1,1,158.3,170.1
539,0,0,173.6,169.4
540,0,0,172.4,170.6
541,0,0,172.8,170.6
542,0,0,172.7,163.1
543,1,1,157,164.5
544,0,1,171.4,163.8
545,1,0,159.2,168
546,1,1,159.5,168.7
547,0,0,169.6,160.6
548,0,0,171.6,163.6
549,1,0,159.4,168.3
550,0,1,176.7,178.8
551,1,0,158.6,170.8
552,1,0,162,174.5
553,0,1,172,162.6
554,0,1,172.4,166.2
555,1,1,157.6,167.7
556,1,0,163.2,178.9
557,0,0,175.7,175.7
558,1,1,155.7,160.1
559,1,1,158,170.5
560,0,0,175.4,182.5
561,1,0,159.5,169.5
562,1,0,162.8,179.7
563,1,0,158.4,166.3
564,1,0,158.6,170.6
565,0,1,174.3,168.8
566,0,1,177.2,178.4
567,0,0,171,163.5
568,0,1,170.7,163.7
569,1,1,160.8,175.2
570,0,1,171.6,166.6
571,1,0,162.2,172.3
572,1,1,157.1,163.6
573,1,0,162.1,176.4
574,1,1,159.5,170.7
575,1,1,160,173.4
576,1,1,156.1,166.8
577,1,1,158.7,173.1
578,0,0,171.8,175
579,1,1,154.5,165.2
580,0,1,173.3,166.7
581,0,1,172.2,171.1
582,1,1,153.9,162.8
583,0,0,174.5,175.5
584,1,0,160.7,169.2
585,1,1,158.1,173.9
586,0,0,174.6,174.3
587,1,1,162.5,172.7
588,1,0,157,161.9
589,0,0,173.6,171.4
590,1,1,157.9,172.2
591,1,0,158.7,165.4
592,1,0,159.1,172.8
593,1,0,158.6,167.9
594,0,0,175.3,181.4
595,1,1,161.1,172.5
596,0,1,175.7,180.9
597,0,1,175.5,172.5
598,0,1,173.5,173.9
599,1,1,158,170.3
600,1,0,158.6,165.8
601,1,0,162.9,174.7
602,0,1,173.5,169.9
603,0,1,173.5,170.6
604,1,0,159.1,170.3
605,1,1,160.8,176.7
606,0,0,176.5,180.5
607,0,0,173,169.5
608,0,0,175.6,173.9
609,1,1,160.4,179
610,1,0,162.6,177.1
611,0,0,171.9,163.5
612,0,0,174,173.9
613,1,0,160.7,173.7
614,0,1,174.6,169.9
615,1,1,160.3,175.8
616,0,0,170.2,160.3
617,0,0,171.4,163.5
618,1,0,156.4,168
619,1,1,160.9,176.5
620,0,1,173.9,167.9
621,1,1,157.9,173.9
622,0,1,173.8,170.9
623,0,0,171.8,169
624,1,0,161.5,174.1
625,1,0,158.1,166.8
626,0,1,170.8,164
627,1,1,158.4,173.4
628,1,1,157.2,167.9
629,0,1,171.7,162.5
630,0,1,173.4,173.6
631,0,0,170.7,156.2
632,0,1,173.6,176.6
633,0,1,172.3,163.9
634,0,0,172.6,175.6
635,0,1,174.1,173.3
636,0,0,174.7,177
637,0,1,173.6,178
638,0,1,172.9,166
639,0,1,169.8,159.1
640,0,0,171.4,165.8
641,0,1,172.7,168.6
642,1,1,159.7,172.7
643,1,1,158.4,169.2
644,0,0,174.6,178.4
645,0,1,171.8,171.9
646,1,1,159.5,166.4
647,1,0,159.5,170.9
648,1,1,161,180.2
649,0,0,175.2,169.7
650,1,1,161.1,173.8
651,1,0,157.3,162.7
652,0,0,171.1,162.5
653,1,0,158.4,167.6
654,1,1,157.8,164.1
655,1,0,158.8,168.1
656,1,0,157.9,163.9
657,1,0,156.6,166.8
658,0,0,174.2,170
659,0,1,172.1,167.3
660,1,1,161.7,177.1
661,0,1,175.2,177.3
662,1,0,158.3,164.3
663,0,0,169.8,163.3
664,1,0,157,171
665,1,1,156.7,166.7
666,0,1,173.3,169.9
667,0,1,172.5,172.7
668,1,0,158.3,167.6
669,1,1,155.5,157.2
670,0,0,174.5,174.4
671,1,0,156.9,169.2
672,0,0,173.5,175.6
673,0,1,172.3,174.6
674,1,0,162.3,178.2
675,1,1,157.1,163.5
676,0,1,175.9,184.8
677,1,1,156.6,167.9
678,0,1,172.4,170.8
679,0,1,171.6,167.3
680,1,1,159.3,172.4
681,0,0,172.9,172.9
682,0,1,172.6,169.7
683,0,0,172.9,169.8
684,1,0,156,157.8
685,0,1,175.2,174.6
686,1,1,157.5,172.8
687,0,0,170.6,167.6
688,1,0,156.3,161
689,1,1,157.4,165.8
690,0,1,172,170.6
691,0,1,175.9,176.2
692,1,1,157.4,160.1
693,1,1,156.5,166.3
694,0,1,173.1,164.8
695,0,1,172.4,162.7
696,1,0,158.5,170
697,1,1,158.1,174.7
698,1,0,157.6,162
699,1,1,159,168.3
700,1,1,156.1,159.6
701,1,1,159.5,170.7
702,1,1,160.7,170.8
703,0,1,174.7,170.8
704,0,1,171.7,168
705,1,1,160.6,172.9
706,1,0,159.5,170.4
707,0,1,173.1,172.7
708,0,0,168.9,161.5
709,1,1,161.8,174
710,0,1,175.1,178.5
711,1,0,162.4,176.6
712,1,1,161.4,175.9
713,0,1,172.6,167.4
714,0,1,170.6,166.4
715,1,0,161.4,172.7
716,1,1,160.7,171.4
717,0,1,175.3,179.4
718,1,0,159,168.7
719,0,1,170.7,168.7
720,1,1,160.4,170.9
721,0,0,172.1,166.6
722,1,0,159.1,172.1
723,0,1,172,168.2
724,0,1,174.7,173.9
725,0,0,172.2,167.2
726,0,1,172.4,169.1
727,0,1,172.7,169.4
728,0,1,171.2,167.5
729,0,0,174.4,171.9
730,0,0,171.3,167.3
731,1,0,160.1,171.2
732,1,0,157.8,164.3
733,1,0,155.1,164.6
734,0,1,171.4,171.6
735,0,0,175.4,173.9
736,1,0,157.4,168.8
737,1,0,158.1,168.2
738,0,1,170.7,163.7
739,1,0,159.6,177
740,0,0,170.8,165.5
741,1,1,159.1,163.4
742,1,0,161.3,176.1
743,1,1,158.3,173.2
744,0,1,175.1,170.2
745,1,1,161.1,176.8
746,0,1,172.4,167.6
747,0,0,171.6,165.6
748,0,0,172.6,170.2
749,0,0,174.7,177.9
750,1,0,161.8,179.5
751,1,1,159.5,173.1
752,0,1,170,162.2
753,0,1,171.2,167.4
754,0,0,173.1,168.3
755,1,1,156.2,170.4
756,0,0,173.2,168.9
757,0,1,173,169.6
758,1,1,155.4,162.9
759,0,0,172.5,173
760,0,0,170.8,168
761,0,0,175.2,177.7
762,0,1,172.1,169.3
763,1,0,155.6,165.4
764,0,1,172.1,172.1
765,0,1,171.5,166.9
766,0,0,170.2,160.5
767,0,1,173.4,160.6
768,1,1,160.1,171.2
769,0,1,173.3,171
770,0,0,173.7,168.3
771,0,1,172.3,169
772,1,0,157.9,165.9
773,0,0,175.7,174.5
774,0,1,172.9,168.8
775,1,1,158.2,168.5
776,1,1,159.1,168.9
777,1,0,159,171
778,0,0,175.6,179.7
779,1,0,156.4,165.9
780,1,0,158.8,168
781,0,1,170.6,162.2
782,0,0,177.5,187.8
783,0,1,174.3,171.2
784,1,1,163.2,177
785,1,0,156.8,167.2
786,1,1,157,160.1
787,0,1,172.8,169.3
788,0,0,172.2,168.6
789,0,1,173.3,170.8
790,1,1,159.6,170.9
791,1,0,163.1,176.5
792,0,0,174.2,176.2
793,1,0,158.4,167.7
794,0,0,178.3,186.8
795,0,0,170.9,168.5
796,0,0,172.5,166.2
797,1,1,161.1,168.3
798,1,0,157.4,161.9
799,0,1,174.6,169.7
800,1,0,157.3,166.1
801,1,1,156.8,162.3
802,1,1,157.2,159.2
803,0,1,174.2,174.6
804,1,0,159,169
805,0,1,172.8,168.8
806,1,1,160.9,176.1
807,0,0,167.8,155.1
808,0,1,175.9,175.8
809,1,1,159.4,171.3
810,0,1,170.1,163.1
811,0,0,175.4,176.3
812,0,0,171.9,163.7
813,1,0,156,162.3
814,0,1,171.9,166.9
815,0,1,175.6,175.3
816,0,1,171.5,164.8
817,1,0,160.5,174.4
818,0,1,172.6,169.3
819,1,1,161.3,174.4
820,0,1,172.3,171.1
821,1,1,160.3,172.9
822,0,0,173.7,172.2
823,1,0,157.6,172.7
824,1,1,155.3,161.5
825,0,0,175.5,178.1
826,0,1,172.2,167.6
827,1,0,155.3,162.8
828,0,1,172.2,162.4
829,1,0,158.7,172.6
830,1,1,157.1,165.4
831,1,0,160.2,175.2
832,1,1,160.6,174.9
833,1,1,160,176.7
834,1,0,159.3,169.1
835,0,0,172.3,164.7
836,1,1,156.8,164.9
837,1,1,159.3,169.5
838,0,0,175,169.4
839,1,0,156.5,165.3
840,0,0,170.9,160.5
841,1,0,160.7,178
842,1,0,159.5,169.1
843,1,1,160.8,180.4
844,1,0,160.5,175.6
845,1,0,156.6,166.6
846,0,1,174.9,173.8
847,1,1,160.2,173.5
848,1,0,159.1,166
849,1,1,160.8,179.5
850,0,1,172.5,166.1
851,0,1,170.9,163.7
852,1,1,161.5,171.6
853,0,1,171.8,169.7
854,1,1,162.1,176.3
855,0,1,173.4,170
856,0,1,171.2,169.1
857,1,0,162.1,175.2
858,0,1,174.9,171.4
859,0,1,171.9,168.2
860,0,1,176.8,180.8
861,0,0,172.8,165.7
862,1,0,160.3,173.2
863,1,0,164,182
864,0,1,171.9,163.8
865,1,0,158.6,171.5
866,1,1,159.1,168.9
867,1,0,156.6,168.6
868,0,1,173,169.9
869,0,1,175,178.2
870,0,1,172.7,173
871,1,0,156.5,162.7
872,0,1,174.9,172.4
873,0,0,173.2,172
874,1,1,158.2,163.8
875,0,0,176.3,180.8
876,0,1,178.9,183.9
877,1,1,159.6,174.2
878,0,1,174.8,171.4
879,1,1,160.6,175.2
880,1,1,156.5,167
881,0,0,168.6,163.9
882,0,0,171.5,167
883,0,0,172.2,165.7
884,0,0,174.3,171.2
885,0,1,171.7,169.4
886,1,0,160.3,176.9
887,1,1,158.3,167.4
888,0,1,172.7,170.5
889,1,1,161.2,176.2
890,0,1,172.9,171.7
891,0,1,173.1,172.8
892,0,0,171.4,167.8
893,0,0,169.2,160.7
894,0,0,174.3,168.2
895,1,1,158.6,171
896,1,1,161.1,175.9
897,1,0,160.9,174.1
898,1,1,159,171.8
899,0,1,171.2,168.3
900,1,0,158.2,169.8
901,0,0,169.6,162
902,1,1,162.5,181
903,1,0,161.4,171
904,0,1,176.2,175.3
905,1,1,158.1,169.3
906,1,1,157.5,165.1
907,0,0,170.7,167.4
908,1,0,158.2,170.7
909,1,1,158.4,169.4
910,1,1,159.3,172.9
911,0,1,171.8,168.7
912,0,0,175.4,175.6
913,1,1,159.1,169.1
914,0,0,173.4,164
915,0,0,174.2,182.8
916,1,0,159.6,168.7
917,0,0,179.3,192.3
918,0,1,173.6,170.2
919,0,1,173.4,168.5
920,0,1,174,172.2
921,1,0,157.5,164.8
922,0,1,171.1,164.4
923,1,1,159.6,171.2
924,1,1,162,175.6
925,1,1,158.3,171.6
926,1,0,157,166.2
927,0,1,174.2,177.5
928,1,1,156.6,165.8
929,1,0,158.8,173.7
930,0,1,170.3,162.3
931,0,0,170.8,167.6
932,0,0,173.3,169.7
933,1,0,156.4,163.2
934,1,0,159.3,170.7
935,0,0,172.5,168.4
936,1,1,155.5,160.9
937,1,1,159.6,176.6
938,0,1,174.3,176
939,0,1,170.1,167.4
940,1,0,157.1,162.2
941,0,0,173.4,170.4
942,1,1,159.1,169
943,0,0,174.6,171.3
944,1,0,159.3,172.8
945,1,1,158.2,161.5
946,0,1,172.9,173
947,0,0,171,171.3
948,1,1,156.3,169.2
949,1,0,160.3,173.7
950,0,0,171.5,162.5
951,1,1,156.7,169.4
952,1,1,160.4,172.5
953,0,1,175.8,172.4
954,1,1,157.6,167.4
955,1,0,158.1,168.2
956,0,1,171.1,167.1
957,1,1,160,173.3
958,0,1,172.7,165.7
959,0,1,173.9,173.1
960,0,0,170.9,167.7
961,0,0,173.5,168.4
962,0,1,173.1,173.7
963,0,1,173.9,175.8
964,1,0,158.2,166.4
965,0,0,171.9,160.6
966,0,1,169.8,167.3
967,1,0,158,167.6
968,0,1,175.4,177.8
969,0,1,172.6,171.9
970,1,1,155.4,163.9
971,1,1,160.9,174.4
972,0,1,169.2,155
973,0,1,171,167.7
974,1,1,160.1,177.3
975,0,0,173.5,178
976,1,1,159.7,167.3
977,0,1,171.6,163.8
978,1,0,157.6,166
979,1,1,158.5,165.9
980,1,1,158.5,166.7
981,0,0,171.8,173.6
982,1,0,159.6,170.7
983,0,1,174,172.4
984,0,1,174,170.4
985,1,1,155.5,160.3
986,0,0,170.7,163.2
987,0,1,172.9,172.6
988,0,1,172.8,166.3
989,0,1,174,176.4
990,1,1,160.5,171
991,0,0,176.2,179.5
992,0,0,174.1,163.8
993,1,1,160.7,173.1
994,1,0,158.5,166.7
995,0,1,172.4,170
996,0,1,172.1,168.8
997,0,1,170.7,171.4
998,1,0,161.5,171.9
999,1,0,159.5,173.5
1000,0,1,172.4,169.7
